Producto;Precio;Imagen
Vinagre de alcohol Casalta 1 l.;$1.565,00;D:/python/scrapling/imagenes_productos_carrefour\Vinagre de alcohol Casalta 1 l_6.jpg
Aceite de girasol Carrefour Classic  alto omega pet 900 cc.;$3.055,00;D:/python/scrapling/imagenes_productos_carrefour\Aceite de girasol Carrefour Classic  alt_2.jpg
Aceite de girasol Carrefour Classic pet 900 ml;$3.055,00;D:/python/scrapling/imagenes_productos_carrefour\Aceite de girasol Carrefour Classic pet _10.jpg
Jugo de limón Bulnez en botella 1000 cc.;$3.290,00;D:/python/scrapling/imagenes_productos_carrefour\Jugo de limón Bulnez en botella 1000 cc_15.jpg
Aceite de girasol Legitimo 900 cc.;$3.329,00;D:/python/scrapling/imagenes_productos_carrefour\Aceite de girasol Legitimo 900 cc_11.jpg
Aceite de girasol Cocinero 900 cc.;$3.889,00;D:/python/scrapling/imagenes_productos_carrefour\Aceite de girasol Cocinero 900 cc_7.jpg
Aceite en aerosol Cañuelas de girasol 187 cc.;$3.915,00;D:/python/scrapling/imagenes_productos_carrefour\Aceite en aerosol Cañuelas de girasol 18_14.jpg
Aceite de girasol Pureza 900 cc.;$4.050,00;D:/python/scrapling/imagenes_productos_carrefour\Aceite de girasol Pureza 900 cc_13.jpg
Aceite en aerosol Natura 120 cc.;$4.135,00;D:/python/scrapling/imagenes_productos_carrefour\Aceite en aerosol Natura 120 cc_8.jpg
Aceite de girasol Natura 900 cc.;$4.195,00;D:/python/scrapling/imagenes_productos_carrefour\Aceite de girasol Natura 900 cc_9.jpg
