Producto;Precio;Imagen
Agua mineral sin gas Carrefour Classic 2 lts;$1.223,20;D:/python/scrapling/imagenes_productos_carrefour\Agua mineral sin gas Carrefour Classic 2_4.jpg
Soda Bulnez 2,25 lts;$1.390,00;D:/python/scrapling/imagenes_productos_carrefour\Soda Bulnez 225 lts_9.jpg
Soda Carrefour Classic sifón 2 lts;$1.554,80;D:/python/scrapling/imagenes_productos_carrefour\Soda Carrefour Classic sifón 2 lts_0.jpg
Agua saborizada limoneto H2OH con gas 2,25 lts;$1.692,00;D:/python/scrapling/imagenes_productos_carrefour\Agua saborizada limoneto H2OH con gas 22_11.jpg
Soda saldan sifón 2 lts;$1.699,00;D:/python/scrapling/imagenes_productos_carrefour\Soda saldan sifón 2 lts_8.jpg
Agua mineral sin gas Villavicencio 2 lts;$2.033,33;D:/python/scrapling/imagenes_productos_carrefour\Agua mineral sin gas Villavicencio 2 lts_1.jpg
Agua mineralizada sin gas Glaciar bajo sodio 2 lts;$2.106,00;D:/python/scrapling/imagenes_productos_carrefour\Agua mineralizada sin gas Glaciar bajo s_13.jpg
Agua mineral sin gas Villa del Sur 2,25 lts;$2.449,00;D:/python/scrapling/imagenes_productos_carrefour\Agua mineral sin gas Villa del Sur 225 l_6.jpg
Agua saborizada de pomelo Levité 2,25 lts;$2.542,50;D:/python/scrapling/imagenes_productos_carrefour\Agua saborizada de pomelo Levité 225 lts_7.jpg
Agua saborizada de manzana Levité 2,25 lts;$2.542,50;D:/python/scrapling/imagenes_productos_carrefour\Agua saborizada de manzana Levité 225 lt_15.jpg
