Producto;Precio;Imagen
Alimento húmedo para gato Whiskas 85 g. salmón;$932,67;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para gato Whiskas 85 g s_0.jpg
Alimento húmedo para gato Whiskas 85 g. pollo;$932,67;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para gato Whiskas 85 g p_1.jpg
Alimento húmedo para gato Whiskas 85 g. carne;$932,67;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para gato Whiskas 85 g c_2.jpg
Alimento húmedo para gato Whiskas 85 g. pavo;$932,67;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para gato Whiskas 85 g p_3.jpg
Alimento húmedo para gato Whiskas 85 g. sardina;$932,67;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para gato Whiskas 85 g s_7.jpg
Alimento húmedo para gatitos Whiskas 85 g. carne;$932,67;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para gatitos Whiskas 85 _14.jpg
Alimento húmedo para gato Carrefour 85 g. salmón rosado;$1.100,00;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para gato Carrefour 85 g_10.jpg
Alimento húmedo para gato Carrefour 85 g. frutos de mar;$1.100,00;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para gato Carrefour 85 g_15.jpg
Alimento húmedo para gato Cat Chow castrados 85 g. pescado;$1.600,00;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para gato Cat Chow castr_12.jpg
Alimento seco para gato Raza 1 kg. pescado;$4.029,00;D:/python/scrapling/imagenes_productos_carrefour\Alimento seco para gato Raza 1 kg pescad_13.jpg
