Producto;Precio;Imagen
Nescafé Dolca suave doypack 100 grs;$4.611,75;D:/python/scrapling/imagenes_productos_carrefour\Nescafé Dolca suave doypack 100 grs_0.jpg
Café en saquitos Cabrales caja x 18 uni;$5.749,00;D:/python/scrapling/imagenes_productos_carrefour\Café en saquitos Cabrales caja x 18 uni_13.jpg
Nescafé Dolca Suave 170 grs;$7.836,75;D:/python/scrapling/imagenes_productos_carrefour\Nescafé Dolca Suave 170 grs_1.jpg
Café instantáneo Dolca Origenes dp 160 grs;$8.684,25;D:/python/scrapling/imagenes_productos_carrefour\Café instantáneo Dolca Origenes dp 160 g_12.jpg
Café tostado molido Morenita 250 grs;$8.850,00;D:/python/scrapling/imagenes_productos_carrefour\Café tostado molido Morenita 250 grs_4.jpg
Nescafé Tradición Doypack 100 grs;$8.949,00;D:/python/scrapling/imagenes_productos_carrefour\Nescafé Tradición Doypack 100 grs_2.jpg
Café instantáneo La Virginia especial clásico 170 g.;$9.215,00;D:/python/scrapling/imagenes_productos_carrefour\Café instantáneo La Virginia especial cl_10.jpg
Nescafé Dolca Original Frasco 170 grs;$9.675,00;D:/python/scrapling/imagenes_productos_carrefour\Nescafé Dolca Original Frasco 170 grs_6.jpg
Café molido torrado intenso Sensaciones 500 grs;$9.990,00;D:/python/scrapling/imagenes_productos_carrefour\Café molido torrado intenso Sensaciones _8.jpg
Infusion a base de café Arlistan pet 170 g.;$10.499,00;D:/python/scrapling/imagenes_productos_carrefour\Infusion a base de café Arlistan pet 170_5.jpg
