Producto;Precio;Imagen
Carne picada Swift congelada 500 g.;$7.500,00;D:/python/scrapling/imagenes_productos_carrefour\Carne picada Swift congelada 500 g_12.jpg
Carnaza común Novillo x kg.;$9.390,00;D:/python/scrapling/imagenes_productos_carrefour\Carnaza común Novillo x kg_10.jpg
Osobuco x kg.;$11.200,00;D:/python/scrapling/imagenes_productos_carrefour\Osobuco x kg_4.jpg
Asado Novillo x kg.;$12.490,00;D:/python/scrapling/imagenes_productos_carrefour\Asado Novillo x kg_5.jpg
Roast beef Novillo x kg.;$12.990,00;D:/python/scrapling/imagenes_productos_carrefour\Roast beef Novillo x kg_1.jpg
Tapa de asado x kg.;$13.290,00;D:/python/scrapling/imagenes_productos_carrefour\Tapa de asado x kg_3.jpg
Paleta x kg.;$14.390,00;D:/python/scrapling/imagenes_productos_carrefour\Paleta x kg_7.jpg
Tapa de nalga Novillo x kg.;$14.790,00;D:/python/scrapling/imagenes_productos_carrefour\Tapa de nalga Novillo x kg_11.jpg
Milanesa bola de lomo Novillo x kg.;$15.990,00;D:/python/scrapling/imagenes_productos_carrefour\Milanesa bola de lomo Novillo x kg_0.jpg
Bife americano Novillo x kg.;$16.700,00;D:/python/scrapling/imagenes_productos_carrefour\Bife americano Novillo x kg_6.jpg
