Producto;Precio;Imagen
Aritos de cereal 3 Arroyos frutado bolsa 160 g.;$1.399,00;D:/python/scrapling/imagenes_productos_carrefour\Aritos de cereal 3 Arroyos frutado bolsa_3.jpg
Copos de maiz Granix 160 g.;$1.470,00;D:/python/scrapling/imagenes_productos_carrefour\Copos de maiz Granix 160 g_2.jpg
Copos de maíz 3 Arroyos azucarados bolsa 200 g.;$1.570,00;D:/python/scrapling/imagenes_productos_carrefour\Copos de maíz 3 Arroyos azucarados bolsa_10.jpg
Bolitas de cereal Bulnez de chocolate 180 grs;$1.590,00;D:/python/scrapling/imagenes_productos_carrefour\Bolitas de cereal Bulnez de chocolate 18_11.jpg
Almohaditas rellenas Molino Ala de frutilla 90 g.;$1.650,00;D:/python/scrapling/imagenes_productos_carrefour\Almohaditas rellenas Molino Ala de fruti_1.jpg
Almohaditas rellenas Molinos Ala cacao y vainilla 90 g.;$1.650,00;D:/python/scrapling/imagenes_productos_carrefour\Almohaditas rellenas Molinos Ala cacao y_6.jpg
Copos de maíz 3 Arroyos bolsa 400 g.;$1.875,00;D:/python/scrapling/imagenes_productos_carrefour\Copos de maíz 3 Arroyos bolsa 400 g_0.jpg
Cereal Carrefour copitas con chocolate sin gluten 200 g.;$1.901,90;D:/python/scrapling/imagenes_productos_carrefour\Cereal Carrefour copitas con chocolate s_5.jpg
Cereal Carrefour anillitos fruta sin gluten 200 g.;$1.901,90;D:/python/scrapling/imagenes_productos_carrefour\Cereal Carrefour anillitos fruta sin glu_7.jpg
Cereal almohaditas Carrefour rellenas de frutilla 180 g.;$2.434,60;D:/python/scrapling/imagenes_productos_carrefour\Cereal almohaditas Carrefour rellenas de_15.jpg
