Producto;Precio;Imagen
Cerveza rubia Brahma 354 ml;$1.251,75;D:/python/scrapling/imagenes_productos_carrefour\Cerveza rubia Brahma 354 ml_15.jpg
Cerveza blanca Quilmes sin alcohol 473 ml;$1.287,69;D:/python/scrapling/imagenes_productos_carrefour\Cerveza blanca Quilmes sin alcohol 473 m_4.jpg
Cerveza Lager República Artesanal en lata 473 ml;$1.290,00;D:/python/scrapling/imagenes_productos_carrefour\Cerveza Lager República Artesanal en lat_10.jpg
Cerveza Honey República Artesanal en lata 473 ml;$1.290,00;D:/python/scrapling/imagenes_productos_carrefour\Cerveza Honey República Artesanal en lat_11.jpg
Cerveza Amber República Artesanal en lata 473 ml;$1.290,00;D:/python/scrapling/imagenes_productos_carrefour\Cerveza Amber República Artesanal en lat_12.jpg
Cerveza blanca Quilmes Bajo cero en lata 473 ml;$1.619,00;D:/python/scrapling/imagenes_productos_carrefour\Cerveza blanca Quilmes Bajo cero en lata_8.jpg
Cerveza light Michelob Ultra 473 ml;$1.635,00;D:/python/scrapling/imagenes_productos_carrefour\Cerveza light Michelob Ultra 473 ml_7.jpg
Cerveza negra Quilmes Stout 473 ml;$1.941,75;D:/python/scrapling/imagenes_productos_carrefour\Cerveza negra Quilmes Stout 473 ml_2.jpg
Cerveza rubia Budweiser 473 ml;$2.002,00;D:/python/scrapling/imagenes_productos_carrefour\Cerveza rubia Budweiser 473 ml_9.jpg
Cerveza rubia Andes Origen 473 ml;$2.076,75;D:/python/scrapling/imagenes_productos_carrefour\Cerveza rubia Andes Origen 473 ml_0.jpg
