Producto;Precio;Imagen
Aperitivo sin alcohol Serrano Carrefour Classic 1,5 lts;$1.276,00;D:/python/scrapling/imagenes_productos_carrefour\Aperitivo sin alcohol Serrano Carrefour _14.jpg
Aperitivo sin alcohol Limón Terma Cero 1,35 lts;$2.129,25;D:/python/scrapling/imagenes_productos_carrefour\Aperitivo sin alcohol Limón Terma Cero 1_11.jpg
Aperitivo sin alcohol Pomelo Terma sin azúcar 1,35 lts;$2.129,25;D:/python/scrapling/imagenes_productos_carrefour\Aperitivo sin alcohol Pomelo Terma sin a_15.jpg
Aperitivo sin alcohol Serrano Terma Cero 1,35 lts;$2.130,00;D:/python/scrapling/imagenes_productos_carrefour\Aperitivo sin alcohol Serrano Terma Cero_6.jpg
Aperitivo sin alcohol Pomelo Terma Cero 1,35 lts;$2.130,00;D:/python/scrapling/imagenes_productos_carrefour\Aperitivo sin alcohol Pomelo Terma Cero _10.jpg
Aperitivo sin alcohol Gancia americano 0% en lata 473 ml;$2.789,00;D:/python/scrapling/imagenes_productos_carrefour\Aperitivo sin alcohol Gancia americano 0_7.jpg
Aperitivo sin alcohol Limón Terma Light 1,75 lts;$3.309,00;D:/python/scrapling/imagenes_productos_carrefour\Aperitivo sin alcohol Limón Terma Light _3.jpg
Aperitivo sin alcohol Serrano Terma 1,7 lts;$3.309,00;D:/python/scrapling/imagenes_productos_carrefour\Aperitivo sin alcohol Serrano Terma 17 l_4.jpg
Aperitivo sin alcohol Pomelo Rosado Terma 1,75 lts;$3.309,00;D:/python/scrapling/imagenes_productos_carrefour\Aperitivo sin alcohol Pomelo Rosado Term_9.jpg
Vermouth Carpano Rosso 950 cc.;$6.889,35;D:/python/scrapling/imagenes_productos_carrefour\Vermouth Carpano Rosso 950 cc_2.jpg
