Producto;Precio;Imagen
Jamón cocido feteado Bulnez 150 grs;$2.210,00;D:/python/scrapling/imagenes_productos_carrefour\Jamón cocido feteado Bulnez 150 grs_0.jpg
Jamón cocido Lario feteado 150 g.;$2.970,00;D:/python/scrapling/imagenes_productos_carrefour\Jamón cocido Lario feteado 150 g_1.jpg
Leberwurst Paladini 250 g.;$3.209,00;D:/python/scrapling/imagenes_productos_carrefour\Leberwurst Paladini 250 g_10.jpg
Lomito feteado 150 g.;$3.610,00;D:/python/scrapling/imagenes_productos_carrefour\Lomito feteado 150 g_9.jpg
Salame tipo milán Lario picado fino feteado 150 g.;$4.040,00;D:/python/scrapling/imagenes_productos_carrefour\Salame tipo milán Lario picado fino fete_12.jpg
Lomo de cerdo feteado Paladini 120 g.;$4.079,00;D:/python/scrapling/imagenes_productos_carrefour\Lomo de cerdo feteado Paladini 120 g_8.jpg
Jamón cocido Paladini 150 g.;$4.390,00;D:/python/scrapling/imagenes_productos_carrefour\Jamón cocido Paladini 150 g_5.jpg
Mortadela Paladini mini 300 g.;$4.885,00;D:/python/scrapling/imagenes_productos_carrefour\Mortadela Paladini mini 300 g_11.jpg
Jamón cocido feteado Cagnoli 200 g.;$5.390,00;D:/python/scrapling/imagenes_productos_carrefour\Jamón cocido feteado Cagnoli 200 g_7.jpg
Jamón cocido feteado Paladini 200 g.;$5.690,00;D:/python/scrapling/imagenes_productos_carrefour\Jamón cocido feteado Paladini 200 g_6.jpg
