Producto;Precio;Imagen
Gaseosa naranja Mirinda 2,25 lts;$1.837,50;D:/python/scrapling/imagenes_productos_carrefour\Gaseosa naranja Mirinda 225 lts_14.jpg
Gaseosa lima limón 7 Up sin azúcar 1,5 lts;$2.400,00;D:/python/scrapling/imagenes_productos_carrefour\Gaseosa lima limón 7 Up sin azúcar 15 lt_3.jpg
Gaseosa cola Pepsi Black pet 1,5 lts;$2.400,00;D:/python/scrapling/imagenes_productos_carrefour\Gaseosa cola Pepsi Black pet 15 lts_4.jpg
Gaseosa cola Pepsi Black pet 2 lts;$2.640,00;D:/python/scrapling/imagenes_productos_carrefour\Gaseosa cola Pepsi Black pet 2 lts_1.jpg
Gaseosa cola Cunnington suave sin tacc 2,25 lts;$2.749,00;D:/python/scrapling/imagenes_productos_carrefour\Gaseosa cola Cunnington suave sin tacc 2_8.jpg
Gaseosa pomelo Cunnignton suave sin tacc 2,25 lts;$2.749,00;D:/python/scrapling/imagenes_productos_carrefour\Gaseosa pomelo Cunnignton suave sin tacc_9.jpg
Gaseosa tónica Paso de los Toros 1,5 lts;$2.781,75;D:/python/scrapling/imagenes_productos_carrefour\Gaseosa tónica Paso de los Toros 15 lts_10.jpg
Gaseosa lima limón 7 Up sin azúcar 2.25 lts;$3.180,00;D:/python/scrapling/imagenes_productos_carrefour\Gaseosa lima limón 7 Up sin azúcar 225 l_5.jpg
Gaseosa cola Coca Cola sabor original 1,25 lts;$3.290,00;D:/python/scrapling/imagenes_productos_carrefour\Gaseosa cola Coca Cola sabor original 12_12.jpg
Gaseosa cola regular Pepsi 2 lts.;$3.300,00;D:/python/scrapling/imagenes_productos_carrefour\Gaseosa cola regular Pepsi 2 lts_6.jpg
