Producto;Precio;Imagen
Harina de Trigo 000 Caserita x 1 kg;$899,00;D:/python/scrapling/imagenes_productos_carrefour\Harina de Trigo 000 Caserita x 1 kg_2.jpg
Harina de trigo Morixe 000 1 kg.;$979,00;D:/python/scrapling/imagenes_productos_carrefour\Harina de trigo Morixe 000 1 kg_0.jpg
Pan rallado Carrefour classic 500 g.;$1.251,00;D:/python/scrapling/imagenes_productos_carrefour\Pan rallado Carrefour classic 500 g_15.jpg
Harina 0000 Chacabuco 1 kg.;$1.289,00;D:/python/scrapling/imagenes_productos_carrefour\Harina 0000 Chacabuco 1 kg_4.jpg
Harina de trigo Morixe 0000 1 kg.;$1.299,00;D:/python/scrapling/imagenes_productos_carrefour\Harina de trigo Morixe 0000 1 kg_1.jpg
Harina de trigo Pureza 0000 1 kg.;$1.350,00;D:/python/scrapling/imagenes_productos_carrefour\Harina de trigo Pureza 0000 1 kg_3.jpg
Avena instantanea Carrefour Classic pouch 300 g.;$1.385,70;D:/python/scrapling/imagenes_productos_carrefour\Avena instantanea Carrefour Classic pouc_11.jpg
Harina leudante Chacabuco 1 kg;$1.479,00;D:/python/scrapling/imagenes_productos_carrefour\Harina leudante Chacabuco 1 kg_8.jpg
Polenta instantanea Prestopronta en bolsa 490 g.;$1.500,00;D:/python/scrapling/imagenes_productos_carrefour\Polenta instantanea Prestopronta en bols_14.jpg
Harina integral fina Chacabuco 1 kg.;$1.589,00;D:/python/scrapling/imagenes_productos_carrefour\Harina integral fina Chacabuco 1 kg_13.jpg
