Producto;Precio;Imagen
Bebida energizante Rockstar en botella 500 ml;$1.350,00;D:/python/scrapling/imagenes_productos_carrefour\Bebida energizante Rockstar en botella 5_2.jpg
Bebida energizante Rockstar de maracuyá pet 500 ml;$1.350,00;D:/python/scrapling/imagenes_productos_carrefour\Bebida energizante Rockstar de maracuyá _12.jpg
Bebida energizante Speed 250 ml;$1.466,25;D:/python/scrapling/imagenes_productos_carrefour\Bebida energizante Speed 250 ml_4.jpg
Bebida energizante Speed Zero en lata 250 ml;$1.466,25;D:/python/scrapling/imagenes_productos_carrefour\Bebida energizante Speed Zero en lata 25_14.jpg
Bebida energizante Speed 473 ml;$2.193,75;D:/python/scrapling/imagenes_productos_carrefour\Bebida energizante Speed 473 ml_0.jpg
Bebida energizante Speed Zero Sugar 473 ml;$2.193,75;D:/python/scrapling/imagenes_productos_carrefour\Bebida energizante Speed Zero Sugar 473 _13.jpg
Bebida energizante sin azúcar Monster energy en lata 473 cc.;$3.299,00;D:/python/scrapling/imagenes_productos_carrefour\Bebida energizante sin azúcar Monster en_1.jpg
Bebida energizante Monster Mango Loco 473 ml;$3.299,00;D:/python/scrapling/imagenes_productos_carrefour\Bebida energizante Monster Mango Loco 47_3.jpg
Bebida energizante Monster Peachy Keen 473 ml;$3.299,00;D:/python/scrapling/imagenes_productos_carrefour\Bebida energizante Monster Peachy Keen 4_5.jpg
Bebida energizante Monster green en lata 473 cc.;$3.299,00;D:/python/scrapling/imagenes_productos_carrefour\Bebida energizante Monster green en lata_7.jpg
