Producto;Precio;Imagen
Jugo en polvo Tang naranja dulce 15 g;$412,50;D:/python/scrapling/imagenes_productos_carrefour\Jugo en polvo Tang naranja dulce 15 g_11.jpg
Jugo en polvo Tang naranja mango 15 g;$412,50;D:/python/scrapling/imagenes_productos_carrefour\Jugo en polvo Tang naranja mango 15 g_14.jpg
Jugo en Polvo Clight Manzana Deliciosa 7 grs;$435,00;D:/python/scrapling/imagenes_productos_carrefour\Jugo en Polvo Clight Manzana Deliciosa 7_0.jpg
Jugo en Polvo Clight Naranja Dulce 7,5 grs;$435,00;D:/python/scrapling/imagenes_productos_carrefour\Jugo en Polvo Clight Naranja Dulce 75 gr_1.jpg
Jugo en Polvo Clight Naranja Durazno 7,5 grs;$435,00;D:/python/scrapling/imagenes_productos_carrefour\Jugo en Polvo Clight Naranja Durazno 75 _2.jpg
Jugo en Polvo Clight Limonada Arandanos 7,5 grs;$435,00;D:/python/scrapling/imagenes_productos_carrefour\Jugo en Polvo Clight Limonada Arandanos _3.jpg
Jugo en Polvo Clight Pomelo Rosado 8 grs;$435,00;D:/python/scrapling/imagenes_productos_carrefour\Jugo en Polvo Clight Pomelo Rosado 8 grs_4.jpg
Jugo en polvo Clight ananá 7grs;$435,00;D:/python/scrapling/imagenes_productos_carrefour\Jugo en polvo Clight ananá 7grs_6.jpg
Jugo en Polvo Clight Limonada 8 grs;$435,00;D:/python/scrapling/imagenes_productos_carrefour\Jugo en Polvo Clight Limonada 8 grs_7.jpg
Jugo en Polvo Clight Naranja 8 grs;$435,00;D:/python/scrapling/imagenes_productos_carrefour\Jugo en Polvo Clight Naranja 8 grs_8.jpg
