Producto;Precio;Imagen
Limpiador multiuso Multimax para diluir lavanda (rinde 5 litros) 150 ml.;$1.098,50;D:/python/scrapling/imagenes_productos_carrefour\Limpiador multiuso Multimax para diluir _2.jpg
Limpiador multiuso Multimax para diluir marina (rinde 5 litros) 150 ml.;$1.098,50;D:/python/scrapling/imagenes_productos_carrefour\Limpiador multiuso Multimax para diluir _7.jpg
Limpiador multiuso Multimax para diluir cherry (rinde 5 litros) 150 ml.;$1.098,50;D:/python/scrapling/imagenes_productos_carrefour\Limpiador multiuso Multimax para diluir _10.jpg
Limpiador multiuso Multimax para diluir citrico limon (rinde 5 litros) 150 ml.;$1.098,50;D:/python/scrapling/imagenes_productos_carrefour\Limpiador multiuso Multimax para diluir _13.jpg
Limpiador Vidrios y Multiuso Cif Expert Doypack 450 ml;$1.604,25;D:/python/scrapling/imagenes_productos_carrefour\Limpiador Vidrios y Multiuso Cif Expert _3.jpg
Limpiador líquido aromatizante Poett frescura de lavanda 900 ml.;$1.709,25;D:/python/scrapling/imagenes_productos_carrefour\Limpiador líquido aromatizante Poett fre_6.jpg
Limpiador Multisuperficies Cif Original Ultra Brillo Doypack 380 ml;$2.860,00;D:/python/scrapling/imagenes_productos_carrefour\Limpiador Multisuperficies Cif Original _12.jpg
Limpiador líquido Procenex pisos lavanda 1.8 l.;$3.890,00;D:/python/scrapling/imagenes_productos_carrefour\Limpiador líquido Procenex pisos lavanda_1.jpg
Limpiador líquido Procenex pisos marina 1.8 l.;$3.890,00;D:/python/scrapling/imagenes_productos_carrefour\Limpiador líquido Procenex pisos marina _9.jpg
Limpiador líquido Procenex pisos flores de jardín 1.8 l.;$3.890,00;D:/python/scrapling/imagenes_productos_carrefour\Limpiador líquido Procenex pisos flores _11.jpg
