Producto;Precio;Imagen
Alimento húmedo para perro Carrefour 100 g. adultos carne;$733,33;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para perro Carrefour 100_5.jpg
Alimento húmedo para perro Carrefour pollo 100 g.;$733,33;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para perro Carrefour pol_15.jpg
Alimento húmedo para perro Pedigree 100 g. adultos pequeños carne;$1.299,00;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para perro Pedigree 100 _1.jpg
Alimento húmedo para perro Pedigree 100 g. adultos pequeños pollo;$1.299,00;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para perro Pedigree 100 _2.jpg
Alimento húmedo para perro Pedigree 100 g. adultos carne;$1.299,00;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para perro Pedigree 100 _3.jpg
Alimento húmedo para perro Pedigree 100 g. adultos pollo;$1.299,00;D:/python/scrapling/imagenes_productos_carrefour\Alimento húmedo para perro Pedigree 100 _6.jpg
Snack para perros Pedigree Biscrok 100 g.;$2.038,00;D:/python/scrapling/imagenes_productos_carrefour\Snack para perros Pedigree Biscrok 100 g_10.jpg
Snack para perros Pedigree Dentastix 7 u. razas medianas;$4.959,00;D:/python/scrapling/imagenes_productos_carrefour\Snack para perros Pedigree Dentastix 7 u_4.jpg
Alimento seco para perro Voraz adultos sabor carne 15 kg;$21.799,00;D:/python/scrapling/imagenes_productos_carrefour\Alimento seco para perro Voraz adultos s_11.jpg
Alimento seco para perro Matute 15 kg. adultos;$22.390,00;D:/python/scrapling/imagenes_productos_carrefour\Alimento seco para perro Matute 15 kg ad_8.jpg
