Producto;Precio;Imagen
Pañal Carrefour baby talle XXG hiperpack 26 uni;$8.450,60;D:/python/scrapling/imagenes_productos_carrefour\Pañal Carrefour baby talle XXG hiperpack_0.jpg
Pañal Carrefour baby talle XG hiperpack 28 uni;$8.450,60;D:/python/scrapling/imagenes_productos_carrefour\Pañal Carrefour baby talle XG hiperpack _4.jpg
Pañal Carrefour baby talle G hiperpack 32 uni;$8.450,60;D:/python/scrapling/imagenes_productos_carrefour\Pañal Carrefour baby talle G hiperpack 3_12.jpg
Pañal Huggies Flexi Comfort talle RN edición limitada 34 uni;$10.271,40;D:/python/scrapling/imagenes_productos_carrefour\Pañal Huggies Flexi Comfort talle RN edi_7.jpg
Pañales Huggies Natural Care RN 34 uni;$11.369,40;D:/python/scrapling/imagenes_productos_carrefour\Pañales Huggies Natural Care RN 34 uni_1.jpg
Pañales Huggies Natural Care P 30 uni;$11.369,40;D:/python/scrapling/imagenes_productos_carrefour\Pañales Huggies Natural Care P 30 uni_8.jpg
Pañales talle XG Toddler Deluxe 30 uni;$11.682,00;D:/python/scrapling/imagenes_productos_carrefour\Pañales talle XG Toddler Deluxe 30 uni_2.jpg
Pañales talle XXG Toddler Deluxe 28 uni;$11.682,00;D:/python/scrapling/imagenes_productos_carrefour\Pañales talle XXG Toddler Deluxe 28 uni_3.jpg
Pañales talle G Toddler Deluxe 38 uni;$11.682,00;D:/python/scrapling/imagenes_productos_carrefour\Pañales talle G Toddler Deluxe 38 uni_5.jpg
Pañales talle M Toddler Deluxe 46 uni;$11.682,00;D:/python/scrapling/imagenes_productos_carrefour\Pañales talle M Toddler Deluxe 46 uni_6.jpg
