Producto;Precio;Imagen
Papel higiénico Bulnez hoja simple x4 30 mts;$1.750,00;D:/python/scrapling/imagenes_productos_carrefour\Papel higiénico Bulnez hoja simple x4 30_12.jpg
Papel higiénico hoja simple Carrefour Essential 4 x 30 mts;$1.901,90;D:/python/scrapling/imagenes_productos_carrefour\Papel higiénico hoja simple Carrefour Es_4.jpg
Papel higiénico Higienol Fresh hoja simple 30 mts 4 uni;$2.319,00;D:/python/scrapling/imagenes_productos_carrefour\Papel higiénico Higienol Fresh hoja simp_3.jpg
Papel higiénico doble hoja Elegante 4 x 30 m.;$3.279,00;D:/python/scrapling/imagenes_productos_carrefour\Papel higiénico doble hoja Elegante 4 x _8.jpg
Papel higiénico doble hoja Higienol plus x4 30 mts;$3.435,00;D:/python/scrapling/imagenes_productos_carrefour\Papel higiénico doble hoja Higienol plus_0.jpg
Papel higiénico Higienol Premium doble hoja 30 mts 4 uni;$4.719,00;D:/python/scrapling/imagenes_productos_carrefour\Papel higiénico Higienol Premium doble h_10.jpg
Papel higiénico Elite Ultra Suave doble hoja 30 mts 4 uni;$4.745,00;D:/python/scrapling/imagenes_productos_carrefour\Papel higiénico Elite Ultra Suave doble _6.jpg
Papel higiénico hoja simple Carrefour Essential x4 80 mts.;$5.014,00;D:/python/scrapling/imagenes_productos_carrefour\Papel higiénico hoja simple Carrefour Es_1.jpg
Papel higiénico Elegante 4 u. x 80 m.;$5.625,00;D:/python/scrapling/imagenes_productos_carrefour\Papel higiénico Elegante 4 u x 80 m_9.jpg
Papel higiénico doble hoja Carrefour Essential x4 50 mts;$5.756,70;D:/python/scrapling/imagenes_productos_carrefour\Papel higiénico doble hoja Carrefour Ess_14.jpg
