Producto;Precio;Imagen
Cuarto Trasero El Mercado x kg.;$10.400,00;D:/python/scrapling/imagenes_productos_carrefour\Cuarto Trasero El Mercado x kg_8.jpg
Cuarto trasero al vacio Que Rico x kg.;$10.500,00;D:/python/scrapling/imagenes_productos_carrefour\Cuarto trasero al vacio Que Rico x kg_6.jpg
Muslo El Mercado x kg.;$10.700,00;D:/python/scrapling/imagenes_productos_carrefour\Muslo El Mercado x kg_7.jpg
Muslos de pollo al vacío Que Rico x kg.;$11.200,00;D:/python/scrapling/imagenes_productos_carrefour\Muslos de pollo al vacío Que Rico x kg_0.jpg
Pata de pollo El Mercado x kg.;$11.400,00;D:/python/scrapling/imagenes_productos_carrefour\Pata de pollo El Mercado x kg_9.jpg
Patas de pollo al vacio Que Rico x kg.;$11.500,00;D:/python/scrapling/imagenes_productos_carrefour\Patas de pollo al vacio Que Rico x kg_5.jpg
Pechuga El Mercado x kg.;$18.400,00;D:/python/scrapling/imagenes_productos_carrefour\Pechuga El Mercado x kg_4.jpg
Pechuga de pollo al vacio Que Rico x kg.;$18.500,00;D:/python/scrapling/imagenes_productos_carrefour\Pechuga de pollo al vacio Que Rico x kg_2.jpg
Suprema El Mercado x kg.;$22.400,00;D:/python/scrapling/imagenes_productos_carrefour\Suprema El Mercado x kg_3.jpg
Suprema filette al vacio Que Rico x kg.;$22.500,00;D:/python/scrapling/imagenes_productos_carrefour\Suprema filette al vacio Que Rico x kg_1.jpg
