Producto;Precio;Imagen
Queso crema Tonadita cremette light 290 g.;$2.999,00;D:/python/scrapling/imagenes_productos_carrefour\Queso crema Tonadita cremette light 290 _9.jpg
Queso crema clásico Casancrem 290 grs;$3.350,75;D:/python/scrapling/imagenes_productos_carrefour\Queso crema clásico Casancrem 290 grs_5.jpg
Queso blanco original La SerenÍsima clásico 290 grs;$3.699,00;D:/python/scrapling/imagenes_productos_carrefour\Queso blanco original La SerenÍsima clás_6.jpg
Queso blanco light La SerenÍsima Clásico 290 grs;$3.699,00;D:/python/scrapling/imagenes_productos_carrefour\Queso blanco light La SerenÍsima Clásico_10.jpg
Queso La Serenísima cremón light pote 280 g.;$3.750,00;D:/python/scrapling/imagenes_productos_carrefour\Queso La Serenísima cremón light pote 28_4.jpg
Queso rallado Tregar 120 g.;$5.099,00;D:/python/scrapling/imagenes_productos_carrefour\Queso rallado Tregar 120 g_15.jpg
Queso untable Finlandia light pote 290 g.;$5.135,00;D:/python/scrapling/imagenes_productos_carrefour\Queso untable Finlandia light pote 290 g_2.jpg
Queso untable Finlandia pote 290 g.;$5.135,00;D:/python/scrapling/imagenes_productos_carrefour\Queso untable Finlandia pote 290 g_8.jpg
Queso crema Casancrem clásico 500 grs;$5.205,85;D:/python/scrapling/imagenes_productos_carrefour\Queso crema Casancrem clásico 500 grs_3.jpg
Queso blanco balance Casancrem 500 grs;$5.205,85;D:/python/scrapling/imagenes_productos_carrefour\Queso blanco balance Casancrem 500 grs_7.jpg
