Producto;Precio;Imagen
Sal fina Bulnez en bolsa 500 g.;$779,00;D:/python/scrapling/imagenes_productos_carrefour\Sal fina Bulnez en bolsa 500 g_1.jpg
Sal fina Dos Estrellas 500 g.;$809,00;D:/python/scrapling/imagenes_productos_carrefour\Sal fina Dos Estrellas 500 g_2.jpg
Sal parrillera Dos Anclas caja 500 g.;$1.064,25;D:/python/scrapling/imagenes_productos_carrefour\Sal parrillera Dos Anclas caja 500 g_7.jpg
Sal fina Dos Anclas caja 500 g.;$1.199,00;D:/python/scrapling/imagenes_productos_carrefour\Sal fina Dos Anclas caja 500 g_4.jpg
Sal gruesa Bulnez en bolsa 1 kg.;$1.350,00;D:/python/scrapling/imagenes_productos_carrefour\Sal gruesa Bulnez en bolsa 1 kg_3.jpg
Sal fina Celusal paquete 500 g.;$1.549,00;D:/python/scrapling/imagenes_productos_carrefour\Sal fina Celusal paquete 500 g_0.jpg
Sal gruesa Carrefour Classic 1 kg;$1.646,80;D:/python/scrapling/imagenes_productos_carrefour\Sal gruesa Carrefour Classic 1 kg_6.jpg
Sal entrefina Bulnez en bolsa 1 kg.;$1.650,00;D:/python/scrapling/imagenes_productos_carrefour\Sal entrefina Bulnez en bolsa 1 kg_9.jpg
Sal fina Celusal caja 500 g.;$1.785,00;D:/python/scrapling/imagenes_productos_carrefour\Sal fina Celusal caja 500 g_5.jpg
Sal entrefina Carrefour Classic bolsa 1 kg;$1.833,00;D:/python/scrapling/imagenes_productos_carrefour\Sal entrefina Carrefour Classic bolsa 1 _13.jpg
