Producto;Precio;Imagen
Ajo en polvo Pergola 25 g. sin TACC;$550,00;D:/python/scrapling/imagenes_productos_carrefour\Ajo en polvo Pergola 25 g sin TACC_14.jpg
Azúcar impalpable Pergola 250 g. sin TACC;$1.155,00;D:/python/scrapling/imagenes_productos_carrefour\Azúcar impalpable Pergola 250 g sin TACC_8.jpg
Galletas de arroz Crisppino queso y cibulette 50 g. sin TACC;$1.360,00;D:/python/scrapling/imagenes_productos_carrefour\Galletas de arroz Crisppino queso y cibu_12.jpg
Galletita de arroz Crisppino oliva y hierbas 50 g. sin TACC;$1.360,00;D:/python/scrapling/imagenes_productos_carrefour\Galletita de arroz Crisppino oliva y hie_13.jpg
Tostadas de arroz Carrefour classic aireadas sin TACC;$1.501,50;D:/python/scrapling/imagenes_productos_carrefour\Tostadas de arroz Carrefour classic aire_4.jpg
Tostadas de arroz sin sal Carrefour Classic  150 g.;$1.518,00;D:/python/scrapling/imagenes_productos_carrefour\Tostadas de arroz sin sal Carrefour Clas_6.jpg
Polvo para hornear Pergola 50 g. sin TACC;$1.550,00;D:/python/scrapling/imagenes_productos_carrefour\Polvo para hornear Pergola 50 g sin TACC_3.jpg
Chips de batata sin TACC Nuestros Sabores yukitas 70 g.;$1.827,50;D:/python/scrapling/imagenes_productos_carrefour\Chips de batata sin TACC Nuestros Sabore_15.jpg
Cerveza light Michelob Ultra 473 ml;$1.851,85;D:/python/scrapling/imagenes_productos_carrefour\Cerveza light Michelob Ultra 473 ml_0.jpg
Mate cocido en saquitos Carrefour Classic sin TACC x 50 un.;$1.922,80;D:/python/scrapling/imagenes_productos_carrefour\Mate cocido en saquitos Carrefour Classi_11.jpg
