Producto;Precio;Imagen
Mani pelado salado Carrefour Classic 115 g.;$1.137,50;D:/python/scrapling/imagenes_productos_carrefour\Mani pelado salado Carrefour Classic 115_5.jpg
Palitos salados Carrefour Classic 115 g.;$1.395,00;D:/python/scrapling/imagenes_productos_carrefour\Palitos salados Carrefour Classic 115 g_1.jpg
Aritos de arroz Dos Hermanos crema y cebolla 80 g.;$1.639,00;D:/python/scrapling/imagenes_productos_carrefour\Aritos de arroz Dos Hermanos crema y ceb_13.jpg
Palitos salados Krachitos 110 g.;$1.665,00;D:/python/scrapling/imagenes_productos_carrefour\Palitos salados Krachitos 110 g_11.jpg
Palitos de maíz sabor queso Carrefour Classic 145 g.;$2.025,00;D:/python/scrapling/imagenes_productos_carrefour\Palitos de maíz sabor queso Carrefour Cl_3.jpg
Papas fritas Carrefour Classic corte tradicional 150 g.;$2.572,10;D:/python/scrapling/imagenes_productos_carrefour\Papas fritas Carrefour Classic corte tra_0.jpg
Papas fritas Bulnez sabor original en tubo 100 grs;$2.612,00;D:/python/scrapling/imagenes_productos_carrefour\Papas fritas Bulnez sabor original en tu_6.jpg
Papas fritas Bulnez sabor queso y cebolla en tubo 100 grs;$2.612,00;D:/python/scrapling/imagenes_productos_carrefour\Papas fritas Bulnez sabor queso y ceboll_7.jpg
Papas fritas Carrefour Classic corte americano 150 g.;$2.745,50;D:/python/scrapling/imagenes_productos_carrefour\Papas fritas Carrefour Classic corte ame_9.jpg
Galletitas original Club Social x6 24 grs;$2.999,00;D:/python/scrapling/imagenes_productos_carrefour\Galletitas original Club Social x6 24 gr_14.jpg
