Producto;Precio;Imagen
Yogur firme entero de vainilla Ilolay en pote 120 g.;$704,25;D:/python/scrapling/imagenes_productos_carrefour\Yogur firme entero de vainilla Ilolay en_14.jpg
Yogur Cremoso Frutilla Descremado La Serenísima Nutrición Activa 120grs;$763,75;D:/python/scrapling/imagenes_productos_carrefour\Yogur Cremoso Frutilla Descremado La Ser_1.jpg
Yogur Firme Entero Sabor Frutilla La Serenísima Nutrición Activa 120 grs;$763,75;D:/python/scrapling/imagenes_productos_carrefour\Yogur Firme Entero Sabor Frutilla La Ser_11.jpg
Yogur cremoso entero de frutilla Milkaut en pote 120 g.;$918,75;D:/python/scrapling/imagenes_productos_carrefour\Yogur cremoso entero de frutilla Milkaut_10.jpg
Yogur cremoso Milkaut sabor natural en pote 180 g.;$1.634,25;D:/python/scrapling/imagenes_productos_carrefour\Yogur cremoso Milkaut sabor natural en p_6.jpg
Yogur entero natural Tregar sin azúcar en pote 140 g.;$1.850,00;D:/python/scrapling/imagenes_productos_carrefour\Yogur entero natural Tregar sin azúcar e_8.jpg
Yogur bebible entero Carrefour Classic sabor frutilla 900 ml;$1.968,00;D:/python/scrapling/imagenes_productos_carrefour\Yogur bebible entero Carrefour Classic s_9.jpg
Yogur bebible entero Carrefour Classic sabor vainilla 900 ml;$1.968,00;D:/python/scrapling/imagenes_productos_carrefour\Yogur bebible entero Carrefour Classic s_13.jpg
Yogur bebible descremado Carrefour Classic sabor frutilla 900 ml;$1.968,00;D:/python/scrapling/imagenes_productos_carrefour\Yogur bebible descremado Carrefour Class_15.jpg
Yogur Griego natural sin endulzar Yogurísimo 190 grs;$2.879,00;D:/python/scrapling/imagenes_productos_carrefour\Yogur Griego natural sin endulzar Yogurí_2.jpg
