Producto;Precio;Imagen
Agua Mineralizada Cellier 2 Lts;$1.099,00;D:/python/scrapling/imagenes_productos_chango\Agua Mineralizada Cellier 2 Lts_3.jpg
Agua Cellier Favaloro Con Gas 2 L;$1.099,00;D:/python/scrapling/imagenes_productos_chango\Agua Cellier Favaloro Con Gas 2 L_12.jpg
Agua Mineral Sin Gas Check 2 L;$1.279,00;D:/python/scrapling/imagenes_productos_chango\Agua Mineral Sin Gas Check 2 L_7.jpg
Sifón De Soda Check 2 L;$1.489,00;D:/python/scrapling/imagenes_productos_chango\Sifón De Soda Check 2 L_4.jpg
Agua Saborizada H2oh! Still Sabor Limoneto 2 L;$1.524,50;D:/python/scrapling/imagenes_productos_chango\Agua Saborizada H2oh Still Sabor Limonet_21.jpg
Soda Ivess 2,25 L;$1.599,00;D:/python/scrapling/imagenes_productos_chango\Soda Ivess 225 L_6.jpg
Agua Con Gas Sifón Sierra De Los Padres 1.75 Lt;$1.749,00;D:/python/scrapling/imagenes_productos_chango\Agua Con Gas Sifón Sierra De Los Padres _9.jpg
Agua Mineral Sin Gas Villa Del Sur 2,25 Lt;$1.836,75;D:/python/scrapling/imagenes_productos_chango\Agua Mineral Sin Gas Villa Del Sur 225 L_23.jpg
Soda Ivess Menos Sodio 1.75 L;$1.869,00;D:/python/scrapling/imagenes_productos_chango\Soda Ivess Menos Sodio 175 L_2.jpg
Agua Mineral Sin Gas Sierra De Los Padres 2 Lt;$1.979,00;D:/python/scrapling/imagenes_productos_chango\Agua Mineral Sin Gas Sierra De Los Padre_20.jpg
