Producto;Precio;Imagen
Alimento Humedo  Perro Carne Pets Class X 100 Grs;$1.159,00;D:/python/scrapling/imagenes_productos_chango\Alimento Humedo  Perro Carne Pets Class _8.jpg
Alimento Perro Razas Grandes Carne Pedigree 100 Gr;$1.399,00;D:/python/scrapling/imagenes_productos_chango\Alimento Perro Razas Grandes Carne Pedig_5.jpg
Alimento Humedo Perro Pouch Adulto Pedigree 100 Gr;$1.399,00;D:/python/scrapling/imagenes_productos_chango\Alimento Humedo Perro Pouch Adulto Pedig_10.jpg
Alimento Adulto Raza Peq Pollo Pedigree Pouch 100 Gr;$1.399,00;D:/python/scrapling/imagenes_productos_chango\Alimento Adulto Raza Peq Pollo Pedigree _12.jpg
Alimento Adulto Raza Peq Carne Pouch Pedigree 100 Gr;$1.399,00;D:/python/scrapling/imagenes_productos_chango\Alimento Adulto Raza Peq Carne Pouch Ped_15.jpg
Snack Biscrok Multi Pedigree X 100gr;$2.039,00;D:/python/scrapling/imagenes_productos_chango\Snack Biscrok Multi Pedigree X 100gr_16.jpg
Snack Rodeo Carne Pedigree X 4un;$2.569,00;D:/python/scrapling/imagenes_productos_chango\Snack Rodeo Carne Pedigree X 4un_21.jpg
Snack Dentastix Razas Medianas Pedigree X 3un;$2.569,00;D:/python/scrapling/imagenes_productos_chango\Snack Dentastix Razas Medianas Pedigree _23.jpg
Alimento Dog Chow Para Perros Adultos, Medianos Y Grandes Sabor Carne Y Pollo 1.5 Kg;$3.849,30;D:/python/scrapling/imagenes_productos_chango\Alimento Dog Chow Para Perros Adultos Me_11.jpg
Snack Dentastix Razas Medianas Pedigree X 7un;$4.959,00;D:/python/scrapling/imagenes_productos_chango\Snack Dentastix Razas Medianas Pedigree _7.jpg
