Producto;Precio;Imagen
Capuccino Instantaneo La Virginia Doypack X 125g;$3.899,00;D:/python/scrapling/imagenes_productos_chango\Capuccino Instantaneo La Virginia Doypac_8.jpg
Café Cabrales En Saquitos 18saq;$5.839,00;D:/python/scrapling/imagenes_productos_chango\Café Cabrales En Saquitos 18saq_11.jpg
Café La Morenita En Saquitos Intenso 20saq;$6.239,00;D:/python/scrapling/imagenes_productos_chango\Café La Morenita En Saquitos Intenso 20s_16.jpg
Café La Virginia En Saquitos 20saq;$6.429,00;D:/python/scrapling/imagenes_productos_chango\Café La Virginia En Saquitos 20saq_7.jpg
Café Molido La Morenita Intenso 250gr;$7.069,00;D:/python/scrapling/imagenes_productos_chango\Café Molido La Morenita Intenso 250gr_19.jpg
Café Molido La Virginia Torrado Equilibrado 250 G;$7.289,00;D:/python/scrapling/imagenes_productos_chango\Café Molido La Virginia Torrado Equilibr_23.jpg
Café Molido La Planta De Café Torrado 250 Gr;$7.409,00;D:/python/scrapling/imagenes_productos_chango\Café Molido La Planta De Café Torrado 25_17.jpg
Café Instantáneo Nescafé® Dolca® Original 170g;$7.967,40;D:/python/scrapling/imagenes_productos_chango\Café Instantáneo Nescafé Dolca Original _0.jpg
Café Instantáneo Nescafé® Dolca® Suave 170 G;$7.967,40;D:/python/scrapling/imagenes_productos_chango\Café Instantáneo Nescafé Dolca Suave 170_1.jpg
Cafe Instantaneo Clasico Doy Pack La Virginia 170 Gr;$8.519,00;D:/python/scrapling/imagenes_productos_chango\Cafe Instantaneo Clasico Doy Pack La Vir_2.jpg
