Producto;Precio;Imagen
Carre De Cerdo Congelado 1 Kg;$6.989,00;D:/python/scrapling/imagenes_productos_chango\Carre De Cerdo Congelado 1 Kg_8.jpg
Pechito De Cerdo Congelado 900 G;$8.299,00;D:/python/scrapling/imagenes_productos_chango\Pechito De Cerdo Congelado 900 G_12.jpg
Carne Picada Especial 750 G;$8.999,00;D:/python/scrapling/imagenes_productos_chango\Carne Picada Especial 750 G_5.jpg
Bondiola Congelada 2.5 Kg;$10.900,00;D:/python/scrapling/imagenes_productos_chango\Bondiola Congelada 25 Kg_9.jpg
Chorizo Tradicional Campo Austral Tradicional Al Vacio 400 Gr;$11.089,00;D:/python/scrapling/imagenes_productos_chango\Chorizo Tradicional Campo Austral Tradic_16.jpg
Chorizo En Gancho Alma Criolla 1 Kg;$11.890,00;D:/python/scrapling/imagenes_productos_chango\Chorizo En Gancho Alma Criolla 1 Kg_23.jpg
Carne Picada Magra 650 G;$14.999,00;D:/python/scrapling/imagenes_productos_chango\Carne Picada Magra 650 G_19.jpg
Tortuguita De Novillo Envasado Al Vacío 900 G;$15.499,00;D:/python/scrapling/imagenes_productos_chango\Tortuguita De Novillo Envasado Al Vacío _22.jpg
Paleta De Novillito Envasado Al Vacío 1.2 Kg;$15.999,00;D:/python/scrapling/imagenes_productos_chango\Paleta De Novillito Envasado Al Vacío 12_6.jpg
Asado De Tira De Novillito 1 Kg;$15.999,00;D:/python/scrapling/imagenes_productos_chango\Asado De Tira De Novillito 1 Kg_14.jpg
