Producto;Precio;Imagen
Cereal Nikitos Bolitas Dulces 80 G;$959,00;D:/python/scrapling/imagenes_productos_chango\Cereal Nikitos Bolitas Dulces 80 G_18.jpg
Aritos De Cereal Frutados 3 Arroyos 160gr;$1.234,35;D:/python/scrapling/imagenes_productos_chango\Aritos De Cereal Frutados 3 Arroyos 160g_15.jpg
Barra Crocante Check De Arroz Maní Y Miel 60 G;$1.299,00;D:/python/scrapling/imagenes_productos_chango\Barra Crocante Check De Arroz Maní Y Mie_21.jpg
Cereal Bolitas Check Chocolate 200 G;$1.585,35;D:/python/scrapling/imagenes_productos_chango\Cereal Bolitas Check Chocolate 200 G_0.jpg
Cereal Check Anillos De Colores Frutal 200 G;$1.637,35;D:/python/scrapling/imagenes_productos_chango\Cereal Check Anillos De Colores Frutal 2_1.jpg
Cereal Check Bastoncitos Integrales De Salvado 250 G;$1.708,85;D:/python/scrapling/imagenes_productos_chango\Cereal Check Bastoncitos Integrales De S_23.jpg
Cereal Azucarado Skarchitos 240 Gr;$1.825,85;D:/python/scrapling/imagenes_productos_chango\Cereal Azucarado Skarchitos 240 Gr_4.jpg
Cereal Zucaritas 240g;$2.222,35;D:/python/scrapling/imagenes_productos_chango\Cereal Zucaritas 240g_14.jpg
Copos De Cereal Granix 400 Gr;$2.566,85;D:/python/scrapling/imagenes_productos_chango\Copos De Cereal Granix 400 Gr_2.jpg
Cereal Avena Y Trigo Con Frutilla Granix 180 Gr;$2.579,85;D:/python/scrapling/imagenes_productos_chango\Cereal Avena Y Trigo Con Frutilla Granix_9.jpg
