Producto;Precio;Imagen
Cerveza En Lata Brahma 354ml;$1.289,00;D:/python/scrapling/imagenes_productos_chango\Cerveza En Lata Brahma 354ml_18.jpg
Cerveza Rubia Quilmes Bajocero 473 Ml;$1.479,00;D:/python/scrapling/imagenes_productos_chango\Cerveza Rubia Quilmes Bajocero 473 Ml_23.jpg
Cerveza Rubia Quilmes 1890 473 Cc;$1.899,00;D:/python/scrapling/imagenes_productos_chango\Cerveza Rubia Quilmes 1890 473 Cc_1.jpg
Cerveza Rubia Schneider 473 Ml;$2.299,00;D:/python/scrapling/imagenes_productos_chango\Cerveza Rubia Schneider 473 Ml_15.jpg
Cerveza Rubia Amstel Lager 473 Ml;$2.399,00;D:/python/scrapling/imagenes_productos_chango\Cerveza Rubia Amstel Lager 473 Ml_7.jpg
Cerveza Rubia Schneider 710 Ml;$2.549,25;D:/python/scrapling/imagenes_productos_chango\Cerveza Rubia Schneider 710 Ml_4.jpg
Cerveza Rubia Imperial 473 Ml;$2.699,00;D:/python/scrapling/imagenes_productos_chango\Cerveza Rubia Imperial 473 Ml_19.jpg
Cerveza Rubia Heineken Sin Alcohol 473 Cc;$2.899,00;D:/python/scrapling/imagenes_productos_chango\Cerveza Rubia Heineken Sin Alcohol 473 C_3.jpg
Cerveza Rubia Imperial Ipa 473 Ml;$2.899,00;D:/python/scrapling/imagenes_productos_chango\Cerveza Rubia Imperial Ipa 473 Ml_17.jpg
Cerveza Rubia Corona 330 Cc;$2.999,00;D:/python/scrapling/imagenes_productos_chango\Cerveza Rubia Corona 330 Cc_11.jpg
