Producto;Precio;Imagen
Queso En Fetas Tonadita Cheddar 10 Fetas 120 G;$1.884,35;D:/python/scrapling/imagenes_productos_chango\Queso En Fetas Tonadita Cheddar 10 Fetas_4.jpg
Jamon Cocido En Trozo Para Picada 150 Gr;$2.299,00;D:/python/scrapling/imagenes_productos_chango\Jamon Cocido En Trozo Para Picada 150 Gr_19.jpg
Queso Cheddar Check 120 G 8 U;$2.599,00;D:/python/scrapling/imagenes_productos_chango\Queso Cheddar Check 120 G 8 U_16.jpg
Mortadela Check En Fetas 150 G;$2.899,00;D:/python/scrapling/imagenes_productos_chango\Mortadela Check En Fetas 150 G_18.jpg
Paleta Aliada Feteado 200 G;$3.599,00;D:/python/scrapling/imagenes_productos_chango\Paleta Aliada Feteado 200 G_3.jpg
Jamón Cocido Check Natural Feteado 130 G;$3.599,00;D:/python/scrapling/imagenes_productos_chango\Jamón Cocido Check Natural Feteado 130 G_7.jpg
Paleta De Cerdo Feteada Campo Austral 200 Gr;$3.899,00;D:/python/scrapling/imagenes_productos_chango\Paleta De Cerdo Feteada Campo Austral 20_5.jpg
Lomo De Cerdo Feteado Paladini 120 Gr;$4.029,00;D:/python/scrapling/imagenes_productos_chango\Lomo De Cerdo Feteado Paladini 120 Gr_13.jpg
Jamon Cocido Feteado Lario 150 Gr;$4.349,00;D:/python/scrapling/imagenes_productos_chango\Jamon Cocido Feteado Lario 150 Gr_14.jpg
Queso Danbo Feteado Check 200 G;$4.399,00;D:/python/scrapling/imagenes_productos_chango\Queso Danbo Feteado Check 200 G_1.jpg
