Producto;Precio;Imagen
Gaseosa Cunnington Pomelo Suave 2.25 L;$1.699,00;D:/python/scrapling/imagenes_productos_chango\Gaseosa Cunnington Pomelo Suave 225 L_5.jpg
Gaseosa Cunnington Cola Sin Azúcar 2.25 L;$1.699,00;D:/python/scrapling/imagenes_productos_chango\Gaseosa Cunnington Cola Sin Azúcar 225 L_6.jpg
Gaseosa Cunnington Lima 2.25 L;$1.699,00;D:/python/scrapling/imagenes_productos_chango\Gaseosa Cunnington Lima 225 L_8.jpg
Agua Tónica Cunnington 2.25 L;$1.699,00;D:/python/scrapling/imagenes_productos_chango\Agua Tónica Cunnington 225 L_9.jpg
Gaseosa Lima Limón 7up Sin Azúcar 1.5 L;$2.219,40;D:/python/scrapling/imagenes_productos_chango\Gaseosa Lima Limón 7up Sin Azúcar 15 L_2.jpg
Gaseosa Coca Cola Original 354ml;$2.299,00;D:/python/scrapling/imagenes_productos_chango\Gaseosa Coca Cola Original 354ml_23.jpg
Gaseosa Mirinda Sabor Naranja 2.25 L;$2.336,65;D:/python/scrapling/imagenes_productos_chango\Gaseosa Mirinda Sabor Naranja 225 L_20.jpg
Gaseosa Cunnington Pomelo Classic 2.25 L;$2.499,00;D:/python/scrapling/imagenes_productos_chango\Gaseosa Cunnington Pomelo Classic 225 L_10.jpg
Gaseosa Cunnington Cola Classic 2.25 L;$2.499,00;D:/python/scrapling/imagenes_productos_chango\Gaseosa Cunnington Cola Classic 225 L_13.jpg
Gaseosa Pepsi Black Sin Azúcar 2 L;$2.519,40;D:/python/scrapling/imagenes_productos_chango\Gaseosa Pepsi Black Sin Azúcar 2 L_0.jpg
