Producto;Precio;Imagen
Medallones De Carne Aliada 2 U 110 G;$999,00;D:/python/scrapling/imagenes_productos_chango\Medallones De Carne Aliada 2 U 110 G_10.jpg
Medallon De Carne Vacuna Express 110 G 2u;$2.449,00;D:/python/scrapling/imagenes_productos_chango\Medallon De Carne Vacuna Express 110 G 2_14.jpg
Medallón De Pollo Jamón Y Queso Paladini 170 Gr;$3.519,00;D:/python/scrapling/imagenes_productos_chango\Medallón De Pollo Jamón Y Queso Paladini_19.jpg
Medallón Green Life De Calabaza Y Choclo 380 G 4u;$3.574,35;D:/python/scrapling/imagenes_productos_chango\Medallón Green Life De Calabaza Y Choclo_16.jpg
Medallones De Carne Vacuna Paty Express 276 G 4u;$4.469,25;D:/python/scrapling/imagenes_productos_chango\Medallones De Carne Vacuna Paty Express _7.jpg
Medallones Swift De Carne 276g 4u;$5.489,00;D:/python/scrapling/imagenes_productos_chango\Medallones Swift De Carne 276g 4u_9.jpg
Medallones Granja Del Sol De Pollo 4 U;$6.006,75;D:/python/scrapling/imagenes_productos_chango\Medallones Granja Del Sol De Pollo 4 U_8.jpg
Hamburguesa Unión Ganadera Clásica 4 U 332 G;$6.785,35;D:/python/scrapling/imagenes_productos_chango\Hamburguesa Unión Ganadera Clásica 4 U 3_12.jpg
Hamburguesas Paty Clásico 320 G 4u;$6.869,25;D:/python/scrapling/imagenes_productos_chango\Hamburguesas Paty Clásico 320 G 4u_3.jpg
Hamburguesas Swift Tipo Casera 240g 2u;$7.009,00;D:/python/scrapling/imagenes_productos_chango\Hamburguesas Swift Tipo Casera 240g 2u_15.jpg
