Producto;Precio;Imagen
Leche Entera La Serenisima Fort C 200 Cc;$929,25;D:/python/scrapling/imagenes_productos_chango\Leche Entera La Serenisima Fort C 200 Cc_18.jpg
Leche Chocolatada Las Tres Niñas Libre De Sellos 200 Ml;$1.110,85;D:/python/scrapling/imagenes_productos_chango\Leche Chocolatada Las Tres Niñas Libre D_23.jpg
Leche Descremada Check Larga Vida 1 L;$1.299,00;D:/python/scrapling/imagenes_productos_chango\Leche Descremada Check Larga Vida 1 L_0.jpg
Leche Entera Casanto 1 L;$1.729,00;D:/python/scrapling/imagenes_productos_chango\Leche Entera Casanto 1 L_11.jpg
Leche Descremada Casanto 1 L;$1.729,00;D:/python/scrapling/imagenes_productos_chango\Leche Descremada Casanto 1 L_19.jpg
Leche Parcialmente Descremada San Ignacio Larga Vida 1 L;$1.899,00;D:/python/scrapling/imagenes_productos_chango\Leche Parcialmente Descremada San Ignaci_6.jpg
Leche Entera La Serenísima Multivitaminas 3% 1 L;$1.925,00;D:/python/scrapling/imagenes_productos_chango\Leche Entera La Serenísima Multivitamina_5.jpg
Leche Descremada La Serenísima Reducida En Lactosa 1 L;$1.925,00;D:/python/scrapling/imagenes_productos_chango\Leche Descremada La Serenísima Reducida _8.jpg
Leche Descremada La Serenísima Multivitaminas 1% 1 L;$1.925,00;D:/python/scrapling/imagenes_productos_chango\Leche Descremada La Serenísima Multivita_9.jpg
Leche Entera Las Tres Niñas Clásica 1 L;$1.964,25;D:/python/scrapling/imagenes_productos_chango\Leche Entera Las Tres Niñas Clásica 1 L_7.jpg
