Producto;Precio;Imagen
Jabón En Barra Baby Dove Humectación Sensible 75 G;$1.609,30;D:/python/scrapling/imagenes_productos_chango\Jabón En Barra Baby Dove Humectación Sen_4.jpg
Jabón En Barra Johnson's Glicerina 80gr;$1.939,00;D:/python/scrapling/imagenes_productos_chango\Jabón En Barra Johnsons Glicerina 80gr_17.jpg
Pañales Toddler Deluxe Talle Xxg 8 U;$2.409,50;D:/python/scrapling/imagenes_productos_chango\Pañales Toddler Deluxe Talle Xxg 8 U_7.jpg
Pañales Toddler Deluxe Talle P 12 U;$2.409,50;D:/python/scrapling/imagenes_productos_chango\Pañales Toddler Deluxe Talle P 12 U_19.jpg
Toallitas Humedas Antibacterial Q-Soft 30 Un;$2.749,00;D:/python/scrapling/imagenes_productos_chango\Toallitas Humedas Antibacterial Q-Soft 3_13.jpg
Jabón Liquido Dove Baby Hipoalergenico  Dp 180ml;$2.988,30;D:/python/scrapling/imagenes_productos_chango\Jabón Liquido Dove Baby Hipoalergenico  _23.jpg
Toallitas Húmedas Toddler Deluxe Sin Perfume 48 U;$3.138,85;D:/python/scrapling/imagenes_productos_chango\Toallitas Húmedas Toddler Deluxe Sin Per_3.jpg
Toallitas Húmedas Toddler Deluxe Aloe Vera 48 U;$3.138,85;D:/python/scrapling/imagenes_productos_chango\Toallitas Húmedas Toddler Deluxe Aloe Ve_16.jpg
Toallas Humedas Soul Baby Con Aloe Y Vit E 50un;$3.499,00;D:/python/scrapling/imagenes_productos_chango\Toallas Humedas Soul Baby Con Aloe Y Vit_0.jpg
Toallitas Húmedas Kimbies 48un;$3.559,00;D:/python/scrapling/imagenes_productos_chango\Toallitas Húmedas Kimbies 48un_8.jpg
