Producto;Precio;Imagen
Papel Higiénico Sol Mayor Simple Hoja 4 U 30 M;$1.079,40;D:/python/scrapling/imagenes_productos_chango\Papel Higiénico Sol Mayor Simple Hoja 4 _22.jpg
Papel Higiénico Aliada Simple Hoja 30 M 4u;$1.139,40;D:/python/scrapling/imagenes_productos_chango\Papel Higiénico Aliada Simple Hoja 30 M _1.jpg
Papel Hgiénico Check Simple Hoja 30 M X 10 Cm 4u;$1.283,40;D:/python/scrapling/imagenes_productos_chango\Papel Hgiénico Check Simple Hoja 30 M X _17.jpg
Papel Higiénico Higienol Fresh Hoja Simple 30 M 4 U;$1.391,40;D:/python/scrapling/imagenes_productos_chango\Papel Higiénico Higienol Fresh Hoja Simp_0.jpg
Papel Higienico Campanita Soft Simple Hoja 4 U 30 Mt;$1.409,40;D:/python/scrapling/imagenes_productos_chango\Papel Higienico Campanita Soft Simple Ho_19.jpg
Papel Higiénico Felpita Hoja Simple 30 M 4 U;$1.559,40;D:/python/scrapling/imagenes_productos_chango\Papel Higiénico Felpita Hoja Simple 30 M_14.jpg
Papel Higienico Elegante Blanco Hoja Simple 4u;$1.601,40;D:/python/scrapling/imagenes_productos_chango\Papel Higienico Elegante Blanco Hoja Sim_6.jpg
Papel Higiénico Felpita Premium Doble Hoja 4 U 20 M;$1.799,40;D:/python/scrapling/imagenes_productos_chango\Papel Higiénico Felpita Premium Doble Ho_9.jpg
Papel Higienico Check Hoja Simple 30mts 6un;$2.099,40;D:/python/scrapling/imagenes_productos_chango\Papel Higienico Check Hoja Simple 30mts _21.jpg
Papel Higienico Elegante Simple Hoja 30 M 6 U;$2.129,40;D:/python/scrapling/imagenes_productos_chango\Papel Higienico Elegante Simple Hoja 30 _10.jpg
