Producto;Precio;Imagen
Queso Rallado La Quesera 100 G;$1.799,00;D:/python/scrapling/imagenes_productos_chango\Queso Rallado La Quesera 100 G_3.jpg
Queso Rallado La Serenísima Reggianito 35 G;$1.819,00;D:/python/scrapling/imagenes_productos_chango\Queso Rallado La Serenísima Reggianito 3_16.jpg
Queso Crema Check 290 G;$1.999,00;D:/python/scrapling/imagenes_productos_chango\Queso Crema Check 290 G_10.jpg
Queso Crema Check Descremado 290 G;$1.999,00;D:/python/scrapling/imagenes_productos_chango\Queso Crema Check Descremado 290 G_17.jpg
Queso Untable Tonadita Gruyere 180 G;$2.849,00;D:/python/scrapling/imagenes_productos_chango\Queso Untable Tonadita Gruyere 180 G_21.jpg
Queso Untable Tonadita Jamón 180 G;$2.849,00;D:/python/scrapling/imagenes_productos_chango\Queso Untable Tonadita Jamón 180 G_22.jpg
Queso Untable La Serenísima Cremón Light 280 G;$2.999,25;D:/python/scrapling/imagenes_productos_chango\Queso Untable La Serenísima Cremón Light_7.jpg
Queso Crema Tonadita Cremette Reducido 290 G;$3.399,00;D:/python/scrapling/imagenes_productos_chango\Queso Crema Tonadita Cremette Reducido 2_19.jpg
Queso Crema La Paulina Tradicional 290 G;$3.429,00;D:/python/scrapling/imagenes_productos_chango\Queso Crema La Paulina Tradicional 290 G_1.jpg
Queso Crema La Paulina Light 290 G;$3.429,00;D:/python/scrapling/imagenes_productos_chango\Queso Crema La Paulina Light 290 G_14.jpg
