Producto;Precio;Imagen
Pimienta Negra Alicante Molida Sin Tacc 25gr;$1.026,00;D:/python/scrapling/imagenes_productos_chango\Pimienta Negra Alicante Molida Sin Tacc _13.jpg
Sal Fina Aliada 500 G;$1.059,00;D:/python/scrapling/imagenes_productos_chango\Sal Fina Aliada 500 G_1.jpg
Pimienta Negra La Campagnola Molida 23 G;$1.139,33;D:/python/scrapling/imagenes_productos_chango\Pimienta Negra La Campagnola Molida 23 G_14.jpg
Pimienta Negra Molida Dos Anclas 25 Gr;$1.146,00;D:/python/scrapling/imagenes_productos_chango\Pimienta Negra Molida Dos Anclas 25 Gr_19.jpg
Sal Check Fina 500 G;$1.159,00;D:/python/scrapling/imagenes_productos_chango\Sal Check Fina 500 G_6.jpg
Sal Fina Celusal Paquete 500 Gr;$1.249,00;D:/python/scrapling/imagenes_productos_chango\Sal Fina Celusal Paquete 500 Gr_0.jpg
Sal Entrefina Parrillera Dos Anclas 500 Gr;$1.369,00;D:/python/scrapling/imagenes_productos_chango\Sal Entrefina Parrillera Dos Anclas 500 _7.jpg
Pimienta Blanca Alicante En Granos Sin Tacc 25gr;$1.372,67;D:/python/scrapling/imagenes_productos_chango\Pimienta Blanca Alicante En Granos Sin T_18.jpg
Pimienta Blanca Dos Anclas Molida 25g;$1.399,33;D:/python/scrapling/imagenes_productos_chango\Pimienta Blanca Dos Anclas Molida 25g_21.jpg
Sal Gruesa Dos Anclas 500 Gr;$1.409,00;D:/python/scrapling/imagenes_productos_chango\Sal Gruesa Dos Anclas 500 Gr_8.jpg
