Producto;Precio;Imagen
Palitos Aliada Salados 120 G;$806,00;D:/python/scrapling/imagenes_productos_chango\Palitos Aliada Salados 120 G_16.jpg
Maní Salado Maní King Sin Piel 100 G;$992,67;D:/python/scrapling/imagenes_productos_chango\Maní Salado Maní King Sin Piel 100 G_17.jpg
Galletita Jamon Saladix 100 Gr;$1.046,00;D:/python/scrapling/imagenes_productos_chango\Galletita Jamon Saladix 100 Gr_8.jpg
Galletita Pizza Saladix 100 Gr;$1.046,00;D:/python/scrapling/imagenes_productos_chango\Galletita Pizza Saladix 100 Gr_10.jpg
Palitos Krachitos Salados 110g;$1.119,33;D:/python/scrapling/imagenes_productos_chango\Palitos Krachitos Salados 110g_4.jpg
Galletita Snacks Rex 125 Gr;$1.506,00;D:/python/scrapling/imagenes_productos_chango\Galletita Snacks Rex 125 Gr_6.jpg
Papas Fritas Quento Queso Crema Y Ciboulette 82 G;$1.532,67;D:/python/scrapling/imagenes_productos_chango\Papas Fritas Quento Queso Crema Y Ciboul_9.jpg
Papas Fritas Quento Jamón Serrano 82 G;$1.532,67;D:/python/scrapling/imagenes_productos_chango\Papas Fritas Quento Jamón Serrano 82 G_21.jpg
Papas Fritas Krachitos Tradicionales 105 G;$1.992,67;D:/python/scrapling/imagenes_productos_chango\Papas Fritas Krachitos Tradicionales 105_23.jpg
Galletita Club Social Sabor Original 144gr;$1.999,33;D:/python/scrapling/imagenes_productos_chango\Galletita Club Social Sabor Original 144_3.jpg
