Producto;Precio;Fecha;Imagen
Agua Mineral sin gas Bonaqua x 500 cc.;$ 1.500;2026-07-05 21:50:39;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineral_sin_gas_Bonaqua_x_500_cc.jpg
Agua Mineralizada Benedictino Sin Gas 500 Ml;$ 1.500;2026-07-05 21:50:39;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineralizada_Benedictino_Sin_Gas_500_Ml.jpg
Agua Nestlé Pureza Vital sin gas Botella 500cc x1;$ 2.000,00;2026-07-05 21:50:39;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Nestlé_Pureza_Vital_sin_gas_Botella_500cc_x1.jpg
Agua Mineral s/Gas Villa del Sur x 600 cc.;$ 2.100,00;2026-07-05 21:50:39;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineral_sGas_Villa_del_Sur_x_600_cc.jpg
Agua Mineral sin gas Cellier x 2 lt.;$ 2.100;2026-07-05 21:50:39;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineral_sin_gas_Cellier_x_2_lt.jpg
Agua Mineral sin gas Glaciar x 500 cc.;$ 2.350,00;2026-07-05 21:50:39;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineral_sin_gas_Glaciar_x_500_cc.jpg
Agua Mineralizada Benedictino Sin Gas 1,5 Lt;$ 2.350;2026-07-05 21:50:39;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineralizada_Benedictino_Sin_Gas_1,5_Lt.jpg
Agua Mineral s/Gas Bonaqua x 1,5 Lt.;$ 2.550;2026-07-05 21:50:39;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineral_sGas_Bonaqua_x_1,5_Lt.jpg
Agua Mineral s/Gas Villa del Sur x 1,65 Lt.;$ 2.650,00;2026-07-05 21:50:39;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineral_sGas_Villa_del_Sur_x_1,65_Lt.jpg
Agua Eco de los Andes sin gas Botella 850cc x1;$ 2.700,00;2026-07-05 21:50:39;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Eco_de_los_Andes_sin_gas_Botella_850cc_x1.jpg
