Producto;Precio;Imagen
Alimento Seco Gato Adulto Pescado Gaucho x 500 g.;$ 1.900;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Gato Adulto Pescado Gaucho_0.jpg
Alimento para Gatos Carne Y Pollo Gati x  500 g.;$ 2.850;D:/python/scrapling/imagenes_productos_laanonima\Alimento para Gatos Carne Y Pollo Gati x_8.jpg
Alimento para Gatos Pescado y Salmón Gati x 500 g.;$ 2.850;D:/python/scrapling/imagenes_productos_laanonima\Alimento para Gatos Pescado y Salmón Gat_9.jpg
Alimento Seco Perro Adulto Carne Gaucho x 1,5 Kg.;$ 3.300;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Perro Adulto Carne Gaucho _1.jpg
Alimento Seco Gato Adulto Pescado & Salmón Gati x 1 Kg.;$ 5.300;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Gato Adulto Pescado  Salmó_3.jpg
Alimento Seco Gato Adulto Megamix Felix x 1000 g.;$ 6.900;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Gato Adulto Megamix Felix _2.jpg
Alimento Seco Gatito Megamix Felix x 1 Kg.;$ 7.600;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Gatito Megamix Felix x 1 K_4.jpg
Alimento Seco Gato Adulto Carne y Pollo Gati x 3 Kg.;$ 14.750;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Gato Adulto Carne y Pollo _6.jpg
Alimento Seco Gato Adulto Megamix Felix x 3 Kg.;$ 19.450;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Gato Adulto Megamix Felix _5.jpg
Alimento Seco Perro Adulto Carne Gaucho x 15 Kg.;$ 25.300;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Perro Adulto Carne Gaucho _11.jpg
