Producto;Precio;Imagen
Arroz Grano Largo 00000 Cañuelas x 500 g.;$ 1.100;D:/python/scrapling/imagenes_productos_laanonima\Arroz Grano Largo 00000 Cañuelas x 500 g_30.jpg
Arroz Grano Largo Fino Molinos Ala x 500 g.;$ 1.250;D:/python/scrapling/imagenes_productos_laanonima\Arroz Grano Largo Fino Molinos Ala x 500_17.jpg
Arroz Integral Cañuelas x 500 g.;$ 1.250;D:/python/scrapling/imagenes_productos_laanonima\Arroz Integral Cañuelas x 500 g_34.jpg
Arroz Largo Fino Don Marcos x 1 Kg.;$ 1.400;D:/python/scrapling/imagenes_productos_laanonima\Arroz Largo Fino Don Marcos x 1 Kg_44.jpg
Arroz Parboilizado Bolsa Dos Hermanos x 500 g.;$ 1.450;D:/python/scrapling/imagenes_productos_laanonima\Arroz Parboilizado Bolsa Dos Hermanos x _18.jpg
Arroz Parboil Don Marcos x 1 Kg.;$ 1.450;D:/python/scrapling/imagenes_productos_laanonima\Arroz Parboil Don Marcos x 1 Kg_23.jpg
Arroz Integral Molinos Ala x 500 g.;$ 1.450;D:/python/scrapling/imagenes_productos_laanonima\Arroz Integral Molinos Ala x 500 g_40.jpg
Arroz Parboil Cañuelas x 500 g.;$ 1.500;D:/python/scrapling/imagenes_productos_laanonima\Arroz Parboil Cañuelas x 500 g_41.jpg
Arroz Integral Bolsa Gallo x 500 g.;$ 1.700;D:/python/scrapling/imagenes_productos_laanonima\Arroz Integral Bolsa Gallo x 500 g_5.jpg
Arroz Largo Fino 00000 Bolsa Vanguardia x 1 Kg.;$ 1.700;D:/python/scrapling/imagenes_productos_laanonima\Arroz Largo Fino 00000 Bolsa Vanguardia _14.jpg
