Producto;Precio;Imagen
Arroz Grano Largo 00000 Cañuelas x 500 g.;$ 1.050;D:/python/scrapling/imagenes_productos_laanonima\Arroz Grano Largo 00000 Cañuelas x 500 g_15.jpg
Arroz Integral Cañuelas x 500 g.;$ 1.200;D:/python/scrapling/imagenes_productos_laanonima\Arroz Integral Cañuelas x 500 g_26.jpg
Arroz Grano Largo Fino Molinos Ala x 500 g.;$ 1.250;D:/python/scrapling/imagenes_productos_laanonima\Arroz Grano Largo Fino Molinos Ala x 500_24.jpg
Arroz Parboilizado Bolsa Dos Hermanos x 500 g.;$ 1.400;D:/python/scrapling/imagenes_productos_laanonima\Arroz Parboilizado Bolsa Dos Hermanos x _21.jpg
Arroz Largo Fino Don Marcos x 1 Kg.;$ 1.400;D:/python/scrapling/imagenes_productos_laanonima\Arroz Largo Fino Don Marcos x 1 Kg_36.jpg
Arroz Dorado Natural Molinos Ala x 500 g.;$ 1.400;D:/python/scrapling/imagenes_productos_laanonima\Arroz Dorado Natural Molinos Ala x 500 g_38.jpg
Arroz Parboil Cañuelas x 500 g.;$ 1.400;D:/python/scrapling/imagenes_productos_laanonima\Arroz Parboil Cañuelas x 500 g_39.jpg
Arroz Parboil Don Marcos x 1 Kg.;$ 1.450;D:/python/scrapling/imagenes_productos_laanonima\Arroz Parboil Don Marcos x 1 Kg_44.jpg
Arroz Integral Molinos Ala x 500 g.;$ 1.450;D:/python/scrapling/imagenes_productos_laanonima\Arroz Integral Molinos Ala x 500 g_46.jpg
Arroz Parboilizado Bolsa Lucchetti x 500 g.;$ 1.750;D:/python/scrapling/imagenes_productos_laanonima\Arroz Parboilizado Bolsa Lucchetti x 500_19.jpg
