Producto;Precio;Imagen
Cerveza Golden Cero Imperial x 473 cc.;$ 2.150;D:/python/scrapling/imagenes_productos_laanonima\Cerveza Golden Cero Imperial x 473 cc.jpg
Cerveza Quilmes 0.0% Lata 473cc x1;$ 2.300;D:/python/scrapling/imagenes_productos_laanonima\Cerveza Quilmes 00 Lata 473cc x1.jpg
Cerveza Schneider Lata x 473 cc.;$ 2.450;D:/python/scrapling/imagenes_productos_laanonima\Cerveza Schneider Lata x 473 cc.jpg
Cerveza Lager Lata Amstel x 473 cc.;$ 2.550;D:/python/scrapling/imagenes_productos_laanonima\Cerveza Lager Lata Amstel x 473 cc.jpg
Cerveza Lata Rubia Andes x 473 cc.;$ 2.650;D:/python/scrapling/imagenes_productos_laanonima\Cerveza Lata Rubia Andes x 473 cc.jpg
Cerveza Quilmes Hinchada Lata 473cc x1;$ 2.750;D:/python/scrapling/imagenes_productos_laanonima\Cerveza Quilmes Hinchada Lata 473cc x1.jpg
Cerveza Quilmes IPA Lata 473cc x1;$ 2.850;D:/python/scrapling/imagenes_productos_laanonima\Cerveza Quilmes IPA Lata 473cc x1.jpg
Cerveza Quilmes Stout Lata 473cc x1;$ 2.850;D:/python/scrapling/imagenes_productos_laanonima\Cerveza Quilmes Stout Lata 473cc x1.jpg
Cerveza Rubia Budweiser Lata 473cc;$ 2.850;D:/python/scrapling/imagenes_productos_laanonima\Cerveza Rubia Budweiser Lata 473cc.jpg
Cerveza Brahma Chopp Lata 473cc x1;$ 2.850;D:/python/scrapling/imagenes_productos_laanonima\Cerveza Brahma Chopp Lata 473cc x1.jpg
