Producto;Precio;Imagen
Dr. Lemon Vodka s/ Tacc x 275 cc.;$ 1.600;D:/python/scrapling/imagenes_productos_laanonima\Dr Lemon Vodka s Tacc x 275 cc_49.jpg
Amargo Pomelo Rosado Tres Torres x 1,5 Lt.;$ 1.600;D:/python/scrapling/imagenes_productos_laanonima\Amargo Pomelo Rosado Tres Torres x 15 Lt_55.jpg
Amargo Blanco Tres Torres Pet x 1,5 lt.;$ 1.600;D:/python/scrapling/imagenes_productos_laanonima\Amargo Blanco Tres Torres Pet x 15 lt_67.jpg
Amargo Tres Torres Limón Pet x 1,5 lt.;$ 1.600;D:/python/scrapling/imagenes_productos_laanonima\Amargo Tres Torres Limón Pet x 15 lt_70.jpg
Amargo Serrano Tres Torres Pet x 1,5 lt.;$ 1.600;D:/python/scrapling/imagenes_productos_laanonima\Amargo Serrano Tres Torres Pet x 15 lt_73.jpg
Amargo Serrano La Anónima x 1,5 Lt.;$ 1.700;D:/python/scrapling/imagenes_productos_laanonima\Amargo Serrano La Anónima x 15 Lt_37.jpg
Amargo Cordillerano La Anónima x 1,5 Lt.;$ 1.700;D:/python/scrapling/imagenes_productos_laanonima\Amargo Cordillerano La Anónima x 15 Lt_39.jpg
Amargo Citrus La Anónima x 1,5 Lt.;$ 1.700;D:/python/scrapling/imagenes_productos_laanonima\Amargo Citrus La Anónima x 15 Lt_40.jpg
Amargo Pomelo Rosado La Anónima x 1,5 Lt.;$ 1.700;D:/python/scrapling/imagenes_productos_laanonima\Amargo Pomelo Rosado La Anónima x 15 Lt_41.jpg
Fernet con Pomelo 1882 x 473 cc.;$ 2.100;D:/python/scrapling/imagenes_productos_laanonima\Fernet con Pomelo 1882 x 473 cc_62.jpg
