Producto;Precio;Imagen
Paté Panceta Ahumada Bocatti x 90 g.;$ 2.050;D:/python/scrapling/imagenes_productos_laanonima\Paté Panceta Ahumada Bocatti x 90 g_42.jpg
Leberwurst Cagnoli x 150 g.;$ 2.600;D:/python/scrapling/imagenes_productos_laanonima\Leberwurst Cagnoli x 150 g_27.jpg
Salchichón Primavera Feteado Zur Linde x 200 g.;$ 2.650;D:/python/scrapling/imagenes_productos_laanonima\Salchichón Primavera Feteado Zur Linde x_6.jpg
Salchichón con Jamón Feteado Zur Linde x 200 g.;$ 2.700;D:/python/scrapling/imagenes_productos_laanonima\Salchichón con Jamón Feteado Zur Linde x_17.jpg
Leberwurst Cabaña Argentina x 200 g.;$ 2.700;D:/python/scrapling/imagenes_productos_laanonima\Leberwurst Cabaña Argentina x 200 g_32.jpg
Salame Milán Feteado Var.Log.5 Bocatti x 70 g.;$ 2.750;D:/python/scrapling/imagenes_productos_laanonima\Salame Milán Feteado VarLog5 Bocatti x 7_14.jpg
Mortadela Feteada 214 x 200 g.;$ 3.600;D:/python/scrapling/imagenes_productos_laanonima\Mortadela Feteada 214 x 200 g_24.jpg
Fiambre Cocido de Cerdo Feteado Zur Linde x 200 g.;$ 3.650;D:/python/scrapling/imagenes_productos_laanonima\Fiambre Cocido de Cerdo Feteado Zur Lind_1.jpg
Mortadela Feteada 42 x 200 g.;$ 3.650;D:/python/scrapling/imagenes_productos_laanonima\Mortadela Feteada 42 x 200 g_10.jpg
Salchichón Mini tipo Primavera Cabaña Argentina x 240 g.;$ 3.850;D:/python/scrapling/imagenes_productos_laanonima\Salchichón Mini tipo Primavera Cabaña Ar_26.jpg
