Producto;Precio;Imagen
Frutillas Congeladas La Anónima x 300 g.;$ 6.000;D:/python/scrapling/imagenes_productos_laanonima\Frutillas Congeladas La Anónima x 300 g.jpg
Frutillas Congeladas Karinat x 300 g.;$ 6.200;D:/python/scrapling/imagenes_productos_laanonima\Frutillas Congeladas Karinat x 300 g.jpg
Arándanos Congelados La Anónima x 300 g.;$ 6.300;D:/python/scrapling/imagenes_productos_laanonima\Arándanos Congelados La Anónima x 300 g.jpg
Arándanos Congelados Green Life x 300 g.;$ 6.650;D:/python/scrapling/imagenes_productos_laanonima\Arándanos Congelados Green Life x 300 g.jpg
Mix Frutos Rojos Congelados La Anónima x 300 g.;$ 7.350;D:/python/scrapling/imagenes_productos_laanonima\Mix Frutos Rojos Congelados La Anónima x.jpg
Frutillas Enteras Congeladas Green Life x 400 g.;$ 7.700;D:/python/scrapling/imagenes_productos_laanonima\Frutillas Enteras Congeladas Green Life .jpg
Mix Berries Congelados Karinat x 300 g.;$ 7.850;D:/python/scrapling/imagenes_productos_laanonima\Mix Berries Congelados Karinat x 300 g.jpg
Arándanos Congelados Karinat x 300 g.;$ 8.250;D:/python/scrapling/imagenes_productos_laanonima\Arándanos Congelados Karinat x 300 g.jpg
Mango Congelado en Cubos Biomac x 500 g.;$ 8.350;D:/python/scrapling/imagenes_productos_laanonima\Mango Congelado en Cubos Biomac x 500 g.jpg
Mix Cuatro Berries Green Life x 400 g.;$ 9.900;D:/python/scrapling/imagenes_productos_laanonima\Mix Cuatro Berries Green Life x 400 g.jpg
