Producto;Precio;Imagen
Gaseosa Cola sin Azúcar Coca-Cola Lata x 220 cc.;$ 1.300;D:/python/scrapling/imagenes_productos_laanonima\Gaseosa Cola sin Azúcar Coca-Cola Lata x.jpg
Gaseosa Coca-Cola Zero 237 Ml;$ 1.450;D:/python/scrapling/imagenes_productos_laanonima\Gaseosa Coca-Cola Zero 237 Ml.jpg
Gaseosa Pepsi Black Lata 354cc x1;$ 1.700;D:/python/scrapling/imagenes_productos_laanonima\Gaseosa Pepsi Black Lata 354cc x1.jpg
Gaseosa 7 Up Sin Azucar Lata 354cc x1;$ 1.700;D:/python/scrapling/imagenes_productos_laanonima\Gaseosa 7 Up Sin Azucar Lata 354cc x1.jpg
Gaseosa Cola s/Azúcar Lata Coca Cola x 354 cc.;$ 1.750;D:/python/scrapling/imagenes_productos_laanonima\Gaseosa Cola sAzúcar Lata Coca Cola x 35.jpg
Gaseosa Lima Limón s/Azúcar Lata Sprite x 354 cc.;$ 1.750;D:/python/scrapling/imagenes_productos_laanonima\Gaseosa Lima Limón sAzúcar Lata Sprite x.jpg
Gaseosa Pomelo Lata Schweppes x 310 cc.;$ 1.750;D:/python/scrapling/imagenes_productos_laanonima\Gaseosa Pomelo Lata Schweppes x 310 cc.jpg
Gaseosa 7 Up Sin Azucar Botella 500cc x1;$ 1.950;D:/python/scrapling/imagenes_productos_laanonima\Gaseosa 7 Up Sin Azucar Botella 500cc x1.jpg
Gaseosa Cola Diet Coca-Cola Zero Pet x 500 cc.;$ 2.050;D:/python/scrapling/imagenes_productos_laanonima\Gaseosa Cola Diet Coca-Cola Zero Pet x 5.jpg
Gaseosa Lima Limón sin Azúcar Sprite Pet x 500 cc.;$ 2.050;D:/python/scrapling/imagenes_productos_laanonima\Gaseosa Lima Limón sin Azúcar Sprite Pet.jpg
