Producto;Precio;Imagen
Bebida Fresh Blue Full Sport x 500 cc.;$ 1.850;D:/python/scrapling/imagenes_productos_laanonima\Bebida Fresh Blue Full Sport x 500 cc_39.jpg
Energizante Rockstar  Botella 500cc x1;$ 2.000;D:/python/scrapling/imagenes_productos_laanonima\Energizante Rockstar  Botella 500cc x1_19.jpg
Bebida de Fresa y Kiwi Pet Gatorade Sin Azúcar x 400 cc.;$ 2.050;D:/python/scrapling/imagenes_productos_laanonima\Bebida de Fresa y Kiwi Pet Gatorade Sin _11.jpg
Bebida Uva Powerade x 500 cc.;$ 2.050;D:/python/scrapling/imagenes_productos_laanonima\Bebida Uva Powerade x 500 cc_13.jpg
Bebida de Moras Pet Gatorade Sin Azúcar x 400 cc.;$ 2.050;D:/python/scrapling/imagenes_productos_laanonima\Bebida de Moras Pet Gatorade Sin Azúcar _15.jpg
Bebida Powerade Naranja x 500 cc.;$ 2.300;D:/python/scrapling/imagenes_productos_laanonima\Bebida Powerade Naranja x 500 cc_22.jpg
Bebida Powerade Manzana x 500 cc.;$ 2.300;D:/python/scrapling/imagenes_productos_laanonima\Bebida Powerade Manzana x 500 cc_23.jpg
Powerade Frutas Tropicales x 500 cc.;$ 2.300;D:/python/scrapling/imagenes_productos_laanonima\Powerade Frutas Tropicales x 500 cc_24.jpg
Powerade Mountain Blast x 500 cc.;$ 2.300;D:/python/scrapling/imagenes_productos_laanonima\Powerade Mountain Blast x 500 cc_25.jpg
Bebida Arándano&Pomelo Suerox x 630 cc.;$ 2.600;D:/python/scrapling/imagenes_productos_laanonima\Bebida ArándanoPomelo Suerox x 630 cc_0.jpg
