Producto;Precio;Imagen
Alimento Seco Perro Adulto Alta Proteína Dog Chow x 1 Kg.;$ 5.650;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Perro Adulto Alta Proteína_4.jpg
Alimento Seco Perro Adulto Carne/Pollo/Cerdo/Vegetales Dogui x 1,5 Kg.;$ 6.000;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Perro Adulto CarnePolloCer_10.jpg
Alimento Seco Perro Adulto Medianos y Grandes Carne/Pollo Dog Chow x 1,5 Kg.;$ 6.100;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Perro Adulto Medianos y Gr_3.jpg
Alimento para Perros Cachorros Dogui x 1,5 Kg.;$ 6.550;D:/python/scrapling/imagenes_productos_laanonima\Alimento para Perros Cachorros Dogui x 1_9.jpg
Alimento Seco Perro Adulto Pequeños y Medianos Carne/Pollo Dog Chow x 1,5 Kg.;$ 7.800;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Perro Adulto Pequeños y Me_12.jpg
Alimento Seco Perro Cachorro Minis y Pequeños Dog Chow x 1,5 Kg.;$ 9.150;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Perro Cachorro Minis y Peq_6.jpg
Alimento Seco Perro Adulto Carne/Pollo/Cerdo/Vegetales Dogui x 3 Kg.;$ 10.650;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Perro Adulto CarnePolloCer_11.jpg
Alimento Seco Perro Cachorro Carne/Pollo/Cerdo Dogui x 3 Kg.;$ 11.700;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Perro Cachorro CarnePolloC_13.jpg
Alimento para  perro Adulto Mediano & Grande Carne y Pollo Dog Chow x 3 kg.;$ 14.000;D:/python/scrapling/imagenes_productos_laanonima\Alimento para  perro Adulto Mediano  Gra_0.jpg
Alimento Seco Perro Adulto Pequeño & Mediano Dog Chow x 3 Kg.;$ 14.500;D:/python/scrapling/imagenes_productos_laanonima\Alimento Seco Perro Adulto Pequeño  Medi_1.jpg
