Producto;Precio;Imagen
Pollo Fresco Pollolin (Kg);$ 4.190;D:/python/scrapling/imagenes_productos_laanonima\Pollo Fresco Pollolin Kg.jpg
Pollo Fresco La Anónima (Kg);$ 4.190;D:/python/scrapling/imagenes_productos_laanonima\Pollo Fresco La Anónima Kg.jpg
Pollo Tres Arroyos Congelado (Kg);$ 4.190;D:/python/scrapling/imagenes_productos_laanonima\Pollo Tres Arroyos Congelado Kg.jpg
Cuarto Trasero de Pollo La Anónima (Kg);$ 5.490;D:/python/scrapling/imagenes_productos_laanonima\Cuarto Trasero de Pollo La Anónima Kg.jpg
Muslo de Pollo La Anónima (Kg);$ 5.890;D:/python/scrapling/imagenes_productos_laanonima\Muslo de Pollo La Anónima Kg.jpg
Pollo Refrigerado Bandeja Pollolin (Kg);$ 6.550;D:/python/scrapling/imagenes_productos_laanonima\Pollo Refrigerado Bandeja Pollolin Kg.jpg
PataMuslo de Pollo La Anónima (Kg);$ 6.690;D:/python/scrapling/imagenes_productos_laanonima\PataMuslo de Pollo La Anónima Kg.jpg
Cuarto Trasero Bandeja Pollolin (Kg);$ 7.290;D:/python/scrapling/imagenes_productos_laanonima\Cuarto Trasero Bandeja Pollolin Kg.jpg
Pollo Parrillero Pollolin (Kg);$ 7.490;D:/python/scrapling/imagenes_productos_laanonima\Pollo Parrillero Pollolin Kg.jpg
Muslo Pollolin (Kg);$ 8.190;D:/python/scrapling/imagenes_productos_laanonima\Muslo Pollolin Kg.jpg
