Producto;Precio;Imagen
Cereal Bolitas de Chocolate Julicroc x 150 g.;$ 1.200;D:/python/scrapling/imagenes_productos_laanonima\Cereal Bolitas de Chocolate Julicroc x 1_29.jpg
Cereal Aritos Frutados Julicroc x 150 g.;$ 1.200;D:/python/scrapling/imagenes_productos_laanonima\Cereal Aritos Frutados Julicroc x 150 g_47.jpg
Barrita Vegana Choco Naranja Laddu Bar x 30 g.;$ 1.500;D:/python/scrapling/imagenes_productos_laanonima\Barrita Vegana Choco Naranja Laddu Bar x_7.jpg
Papas Fritas Sabor Cheddar Julicroc x 70 g.;$ 1.700;D:/python/scrapling/imagenes_productos_laanonima\Papas Fritas Sabor Cheddar Julicroc x 70_36.jpg
Almohaditas Rellena de Avellana sin Tacc Snuks x 90 g.;$ 1.850;D:/python/scrapling/imagenes_productos_laanonima\Almohaditas Rellena de Avellana sin Tacc_50.jpg
Almohaditas Rellena de Frutilla sin Tacc Snuks x 90 g.;$ 1.850;D:/python/scrapling/imagenes_productos_laanonima\Almohaditas Rellena de Frutilla sin Tacc_65.jpg
Galletitas sabor Frutilla sin Tacc Smams x 105 g.;$ 1.900;D:/python/scrapling/imagenes_productos_laanonima\Galletitas sabor Frutilla sin Tacc Smams_73.jpg
Galletitas Rellenas Vainilla Smams x 105 g.;$ 1.900;D:/python/scrapling/imagenes_productos_laanonima\Galletitas Rellenas Vainilla Smams x 105_74.jpg
Harina de Arroz s/Gluten Dos Hermanos x 500 g.;$ 2.000;D:/python/scrapling/imagenes_productos_laanonima\Harina de Arroz sGluten Dos Hermanos x 5_1.jpg
Palitos de Maíz Queso Libre de Gluten Julicroc x 180 g.;$ 2.100;D:/python/scrapling/imagenes_productos_laanonima\Palitos de Maíz Queso Libre de Gluten Ju_56.jpg
