Producto;Precio;Imagen
Palitos Salados Krach-Itos x 70 g.;$ 990;D:/python/scrapling/imagenes_productos_laanonima\Palitos Salados Krach-Itos x 70 g_88.jpg
Palitos de Maíz con Queso Nikitos x 100 g.;$ 990;D:/python/scrapling/imagenes_productos_laanonima\Palitos de Maíz con Queso Nikitos x 100 _124.jpg
Palitos Salados Nikitos x 120 g.;$ 1.050;D:/python/scrapling/imagenes_productos_laanonima\Palitos Salados Nikitos x 120 g_91.jpg
Maní Pelado Salado Krach-Itos x 70 g.;$ 1.150;D:/python/scrapling/imagenes_productos_laanonima\Maní Pelado Salado Krach-Itos x 70 g_115.jpg
Snacks Pizzitos sabor Jamón y Queso Nikitos x 100 g.;$ 1.150;D:/python/scrapling/imagenes_productos_laanonima\Snacks Pizzitos sabor Jamón y Queso Niki_150.jpg
Papas Fritas corte Americano Nikitos x 70 g.;$ 1.200;D:/python/scrapling/imagenes_productos_laanonima\Papas Fritas corte Americano Nikitos x 7_79.jpg
Papas Fritas Clásicas Nikitos x 70 g.;$ 1.200;D:/python/scrapling/imagenes_productos_laanonima\Papas Fritas Clásicas Nikitos x 70 g_83.jpg
Maní Tostado sin Sal Maní King x 100 g.;$ 1.200;D:/python/scrapling/imagenes_productos_laanonima\Maní Tostado sin Sal Maní King x 100 g_92.jpg
Maní Frito Salado Maní King x 100 g.;$ 1.200;D:/python/scrapling/imagenes_productos_laanonima\Maní Frito Salado Maní King x 100 g_93.jpg
Maní Frito Salado sin Piel La Anónima x 105 g.;$ 1.300;D:/python/scrapling/imagenes_productos_laanonima\Maní Frito Salado sin Piel La Anónima x _62.jpg
