Producto;Precio;Fecha;Imagen
Cerveza Schneider Lata x 473 cc.;$ 2.650;2026-07-05 22:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Cerveza_Schneider_Lata_x_473_cc.jpg
Cerveza Lata Remix Schneider x 473 cc.;$ 2.800;2026-07-05 22:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Cerveza_Lata_Remix_Schneider_x_473_cc.jpg
Cerveza Imperial Lata x 473 cc.;$ 3.150;2026-07-05 22:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Cerveza_Imperial_Lata_x_473_cc.jpg
Cerveza Golden Lata Imperial x 473 cc.;$ 3.150;2026-07-05 22:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Cerveza_Golden_Lata_Imperial_x_473_cc.jpg
Cerveza Warsteiner Lata x 473 cc.;$ 3.250,00;2026-07-05 22:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Cerveza_Warsteiner_Lata_x_473_cc.jpg
Cerveza Lager Estrella Gal x 473 cc.;$ 3.500;2026-07-05 22:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Cerveza_Lager_Estrella_Gal_x_473_cc.jpg
Cerveza Schneider Lata x 710 cc.;$ 3.550,00;2026-07-05 22:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Cerveza_Schneider_Lata_x_710_cc.jpg
Cerveza Rubia Sin Alcohol Jjoo Lata Corona x 330 cc.;$ 3.750,00;2026-07-05 22:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Cerveza_Rubia_Sin_Alcohol_Jjoo_Lata_Corona_x_330_cc.jpg
Cerveza Stella Artois Botella No Retornable 330cc x1;$ 4.100,00;2026-07-05 22:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Cerveza_Stella_Artois_Botella_No_Retornable_330cc_x1.jpg
Cerveza Lata Hop House 13 Guinness x 473 cc.;$ 4.200,00;2026-07-05 22:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Cerveza_Lata_Hop_House_13_Guinness_x_473_cc.jpg
