Producto;Precio;Fecha;Imagen
Dr. Lemon Vodka s/ Tacc x 275 cc.;$ 1.600,00;2026-07-05 22:06:23;d:/proyecto_supermercados_paginaweb/images/laanonima\Dr._Lemon_Vodka_s_Tacc_x_275_cc.jpg
Amargo Pomelo Rosado Tres Torres x 1,5 Lt.;$ 1.700;2026-07-05 22:06:23;d:/proyecto_supermercados_paginaweb/images/laanonima\Amargo_Pomelo_Rosado_Tres_Torres_x_1,5_Lt.jpg
Amargo Serrano Tres Torres Pet x 1,5 lt.;$ 1.700;2026-07-05 22:06:23;d:/proyecto_supermercados_paginaweb/images/laanonima\Amargo_Serrano_Tres_Torres_Pet_x_1,5_lt.jpg
Amargo Tres Torres Limón Pet x 1,5 lt.;$ 1.700;2026-07-05 22:06:23;d:/proyecto_supermercados_paginaweb/images/laanonima\Amargo_Tres_Torres_Limón_Pet_x_1,5_lt.jpg
Amargo Blanco Tres Torres Pet x 1,5 lt.;$ 1.700;2026-07-05 22:06:23;d:/proyecto_supermercados_paginaweb/images/laanonima\Amargo_Blanco_Tres_Torres_Pet_x_1,5_lt.jpg
Gaseosa Naranja Lata Mirinda x 354 cc.;$ 1.750,00;2026-07-05 22:06:23;d:/proyecto_supermercados_paginaweb/images/laanonima\Gaseosa_Naranja_Lata_Mirinda_x_354_cc.jpg
Amargo Citrus La Anónima x 1,5 Lt.;$ 1.750,00;2026-07-05 22:06:23;d:/proyecto_supermercados_paginaweb/images/laanonima\Amargo_Citrus_La_Anónima_x_1,5_Lt.jpg
Fernet con Pomelo 1882 x 473 cc.;$ 2.100,00;2026-07-05 22:06:23;d:/proyecto_supermercados_paginaweb/images/laanonima\Fernet_con_Pomelo_1882_x_473_cc.jpg
Fernet con Cola 1882 x 473 cc.;$ 2.450,00;2026-07-05 22:06:23;d:/proyecto_supermercados_paginaweb/images/laanonima\Fernet_con_Cola_1882_x_473_cc.jpg
Amargo Terma Cero Cuyano Pet x 1,35 Lt.;$ 2.850,00;2026-07-05 22:06:23;d:/proyecto_supermercados_paginaweb/images/laanonima\Amargo_Terma_Cero_Cuyano_Pet_x_1,35_Lt.jpg
