Producto;Precio;Fecha;Imagen
Lomo al Horno Feteado Var.Log5 Bocatti x 70 g.;$ 2.800;2026-06-27 11:53:19;d:/proyecto_supermercados_paginaweb/images/laanonima\Lomo_al_Horno_Feteado_Var.Log5_Bocatti_x_70_g.jpg
Salchichón Primavera Feteado Zur Linde x 200 g.;$ 2.950;2026-06-27 11:53:19;d:/proyecto_supermercados_paginaweb/images/laanonima\Salchichón_Primavera_Feteado_Zur_Linde_x_200_g.jpg
Salchichón con Jamón Feteado Zur Linde x 200 g.;$ 3.000;2026-06-27 11:53:19;d:/proyecto_supermercados_paginaweb/images/laanonima\Salchichón_con_Jamón_Feteado_Zur_Linde_x_200_g.jpg
Mortadela Feteada 42 x 200 g.;$ 4.000;2026-06-27 11:53:19;d:/proyecto_supermercados_paginaweb/images/laanonima\Mortadela_Feteada_42_x_200_g.jpg
Leberwurst Paladini x 250 g.;$ 4.350;2026-06-27 11:53:19;d:/proyecto_supermercados_paginaweb/images/laanonima\Leberwurst_Paladini_x_250_g.jpg
Jamón Cocido Bocatti Feteado x 130 g.;$ 4.700;2026-06-27 11:53:19;d:/proyecto_supermercados_paginaweb/images/laanonima\Jamón_Cocido_Bocatti_Feteado_x_130_g.jpg
Paleta Cocida Feteada 42 x 200 g.;$ 5.850;2026-06-27 11:53:19;d:/proyecto_supermercados_paginaweb/images/laanonima\Paleta_Cocida_Feteada_42_x_200_g.jpg
Jamón Cocido Feteado 42 x 200 g.;$ 6.100;2026-06-27 11:53:19;d:/proyecto_supermercados_paginaweb/images/laanonima\Jamón_Cocido_Feteado_42_x_200_g.jpg
Fiambre Cocido de Cerdo Feteado Zur Linde x 200 g.;No disponible;2026-06-27 11:53:19;d:/proyecto_supermercados_paginaweb/images/laanonima\Fiambre_Cocido_de_Cerdo_Feteado_Zur_Linde_x_200_g.jpg
Salame Milán Feteado 42 x 150 g.;No disponible;2026-06-27 11:53:19;d:/proyecto_supermercados_paginaweb/images/laanonima\Salame_Milán_Feteado_42_x_150_g.jpg
