Producto;Precio;Fecha;Imagen
Gaseosa Cola s/Azúcar Lata Coca Cola x 354 cc.;$ 1.850;2026-09-22 11:51:47;d:/proyecto_supermercados_paginaweb/images/laanonima_img_crudo\Gaseosa_Cola_sAzúcar_Lata_Coca_Cola_x_354_cc.jpg
Gaseosa Lima Limón s/Azúcar Lata Sprite x 354 cc.;$ 1.850;2026-09-22 11:51:47;d:/proyecto_supermercados_paginaweb/images/laanonima_img_crudo\Gaseosa_Lima_Limón_sAzúcar_Lata_Sprite_x_354_cc.jpg
Gaseosa Crush Naranja 2,25 Lt;$ 3.550;2026-09-22 11:51:47;d:/proyecto_supermercados_paginaweb/images/laanonima_img_crudo\Gaseosa_Crush_Naranja_2,25_Lt.jpg
Gaseosa Crush Pomelo marillo 2,25 Lt;$ 3.550;2026-09-22 11:51:47;d:/proyecto_supermercados_paginaweb/images/laanonima_img_crudo\Gaseosa_Crush_Pomelo_marillo_2,25_Lt.jpg
Gaseosa Crush Lima-Limón 2,25 Lt;$ 3.550;2026-09-22 11:51:47;d:/proyecto_supermercados_paginaweb/images/laanonima_img_crudo\Gaseosa_Crush_Lima-Limón_2,25_Lt.jpg
Gaseosa Pepsi Black Botella 1,5Lt. x1;$ 4.100;2026-09-22 11:51:47;d:/proyecto_supermercados_paginaweb/images/laanonima_img_crudo\Gaseosa_Pepsi_Black_Botella_1,5Lt._x1.jpg
Gaseosa 7 Up Sin Azucar Botella 1,5Lt. x1;$ 4.150;2026-09-22 11:51:47;d:/proyecto_supermercados_paginaweb/images/laanonima_img_crudo\Gaseosa_7_Up_Sin_Azucar_Botella_1,5Lt._x1.jpg
Gaseosa Schweppes Zero Agua Tónica 1,5 Lt;$ 4.450;2026-09-22 11:51:47;d:/proyecto_supermercados_paginaweb/images/laanonima_img_crudo\Gaseosa_Schweppes_Zero_Agua_Tónica_1,5_Lt.jpg
Gaseosa Fanta Zero Naranja 1,5 Lt;$ 4.450;2026-09-22 11:51:47;d:/proyecto_supermercados_paginaweb/images/laanonima_img_crudo\Gaseosa_Fanta_Zero_Naranja_1,5_Lt.jpg
Gaseosa Schweppes Zero Pomelo 1,5 Lt;$ 4.500;2026-09-22 11:51:47;d:/proyecto_supermercados_paginaweb/images/laanonima_img_crudo\Gaseosa_Schweppes_Zero_Pomelo_1,5_Lt.jpg
