Producto;Precio;Fecha;Imagen
Medallones de Carne Vacuna Best x 2 un. 110 gr.;$ 1.880,00;2026-07-19 12:28:08;d:/proyecto_supermercados_paginaweb/images/laanonima\Medallones_de_Carne_Vacuna_Best_x_2_un._110_gr.jpg
Medallones de Carne Vacuna Express x 2 Un. Paty x 110 g.;$ 2.025,00;2026-07-19 12:28:08;d:/proyecto_supermercados_paginaweb/images/laanonima\Medallones_de_Carne_Vacuna_Express_x_2_Un._Paty_x_110_g.jpg
Hamburguesas de Carne Vacuna La Anónima x 2 un. 110 gr.;$ 2.920,00;2026-07-19 12:28:08;d:/proyecto_supermercados_paginaweb/images/laanonima\Hamburguesas_de_Carne_Vacuna_La_Anónima_x_2_un._110_gr.jpg
Medallones de Carne Vacuna Swift x 4 un. 276 gr.;$ 4.200,00;2026-07-19 12:28:08;d:/proyecto_supermercados_paginaweb/images/laanonima\Medallones_de_Carne_Vacuna_Swift_x_4_un._276_gr.jpg
Medallones de Carne Vacuna Best x 4 un. 276 gr.;$ 4.560,00;2026-07-19 12:28:08;d:/proyecto_supermercados_paginaweb/images/laanonima\Medallones_de_Carne_Vacuna_Best_x_4_un._276_gr.jpg
Hamburguesa de Carne Vacuna tipo Casera Swift x 2 un. 240 gr.;$ 5.925,00;2026-07-19 12:28:08;d:/proyecto_supermercados_paginaweb/images/laanonima\Hamburguesa_de_Carne_Vacuna_tipo_Casera_Swift_x_2_un._240_gr.jpg
Medallones de Carne Vacuna x 4 Un. Goodmark x 320 g.;$ 6.075,00;2026-07-19 12:28:08;d:/proyecto_supermercados_paginaweb/images/laanonima\Medallones_de_Carne_Vacuna_x_4_Un._Goodmark_x_320_g.jpg
Medallones de Carne Vacuna Express x 4 Un. Paty x 276 g.;$ 6.700;2026-07-19 12:28:08;d:/proyecto_supermercados_paginaweb/images/laanonima\Medallones_de_Carne_Vacuna_Express_x_4_Un._Paty_x_276_g.jpg
Hamburguesa de Carne Vacuna Clásico Paty x 4 un. 320 gr.;$ 6.900,00;2026-07-19 12:28:08;d:/proyecto_supermercados_paginaweb/images/laanonima\Hamburguesa_de_Carne_Vacuna_Clásico_Paty_x_4_un._320_gr.jpg
Hamburguesa de Carne Vacuna x 4 Un. Union Ganadera x 332 g.;$ 7.085,00;2026-07-19 12:28:08;d:/proyecto_supermercados_paginaweb/images/laanonima\Hamburguesa_de_Carne_Vacuna_x_4_Un._Union_Ganadera_x_332_g.jpg
