Producto;Precio;Fecha;Imagen
Energizante Rockstar Botella 500cc x1;$ 1.997,00;2026-08-02 11:52:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Energizante_Rockstar_Botella_500cc_x1.jpg
Bebida Frutilla&Kiwi Suerox x 630 cc.;$ 2.175,00;2026-08-02 11:52:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_Frutilla&Kiwi_Suerox_x_630_cc.jpg
Bebida Manzana Suerox x 630 cc.;$ 2.175,00;2026-08-02 11:52:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_Manzana_Suerox_x_630_cc.jpg
Bebida sin Azúcar Frutos Rojos Suerox x 630 cc.;$ 2.175,00;2026-08-02 11:52:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_sin_Azúcar_Frutos_Rojos_Suerox_x_630_cc.jpg
Bebida Arándano&Pomelo Suerox x 630 cc.;$ 2.175,00;2026-08-02 11:52:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_Arándano&Pomelo_Suerox_x_630_cc.jpg
Bebida sin Ázucar sabor Limonada Suerox x 630 cc.;$ 2.175,00;2026-08-02 11:52:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_sin_Ázucar_sabor_Limonada_Suerox_x_630_cc.jpg
Bebida Energizante Zero Speed x 473 cc.;$ 2.212,00;2026-08-02 11:52:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_Energizante_Zero_Speed_x_473_cc.jpg
Bebida Energizante Speed x 473 cc.;$ 2.212,00;2026-08-02 11:52:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_Energizante_Speed_x_473_cc.jpg
Isotónica Gatorade Cool Blue Botella 500cc x1;$ 2.275,00;2026-08-02 11:52:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Isotónica_Gatorade_Cool_Blue_Botella_500cc_x1.jpg
Isotónica Gatorade Uva Botella 500cc x1;$ 2.275,00;2026-08-02 11:52:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Isotónica_Gatorade_Uva_Botella_500cc_x1.jpg
