Producto;Precio;Fecha;Imagen
Pouch Gato Adulto Pollo Whiskas x 85 g.;$ 1.033,00;2026-08-02 11:43:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Pouch_Gato_Adulto_Pollo_Whiskas_x_85_g.jpg
Pouch Gato Adulto Sardina Whiskas x 85 g.;$ 1.033,00;2026-08-02 11:43:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Pouch_Gato_Adulto_Sardina_Whiskas_x_85_g.jpg
Pouch Gato Adulto Salmon Whiskas x 85 g.;$ 1.033,00;2026-08-02 11:43:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Pouch_Gato_Adulto_Salmon_Whiskas_x_85_g.jpg
Pouch Gato Adulto Carne Whiskas x 85 g.;$ 1.033,00;2026-08-02 11:43:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Pouch_Gato_Adulto_Carne_Whiskas_x_85_g.jpg
Pouch Gato Adulto Pavo Whiskas x 85 g.;$ 1.033,00;2026-08-02 11:43:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Pouch_Gato_Adulto_Pavo_Whiskas_x_85_g.jpg
Pocuh Gatito Carne Whiskas x 85 g.;$ 1.033,00;2026-08-02 11:43:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Pocuh_Gatito_Carne_Whiskas_x_85_g.jpg
Pouch Gato Adulto Pescado Souffle Whiskas x 85 g.;$ 1.033,00;2026-08-02 11:43:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Pouch_Gato_Adulto_Pescado_Souffle_Whiskas_x_85_g.jpg
Alimento para Gatitos Carne Souff Whiskas x 85 g.;$ 1.033,00;2026-08-02 11:43:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Alimento_para_Gatitos_Carne_Souff_Whiskas_x_85_g.jpg
Pouch Gato Adulto Carne Souffle Whiskas x 85 g.;$ 1.033,00;2026-08-02 11:43:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Pouch_Gato_Adulto_Carne_Souffle_Whiskas_x_85_g.jpg
Snack Gato Sabor Pollo Whiskas x 80 g.;$ 2.300,00;2026-08-02 11:43:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Snack_Gato_Sabor_Pollo_Whiskas_x_80_g.jpg
