Producto;Precio;Fecha;Imagen
Pouch Perro Adulto Razas Pequeñas Carne Pedigree x 100 g.;$ 1.100,00;2026-07-25 12:56:10;d:/proyecto_supermercados_paginaweb/images/laanonima\Pouch_Perro_Adulto_Razas_Pequeñas_Carne_Pedigree_x_100_g.jpg
Pouch Perro Adulto Pollo Pedigree x 100 g.;$ 1.100,00;2026-07-25 12:56:10;d:/proyecto_supermercados_paginaweb/images/laanonima\Pouch_Perro_Adulto_Pollo_Pedigree_x_100_g.jpg
Alimento para Perros Cachorros Carne Pedigree x 85 g.;$ 1.100,00;2026-07-25 12:56:10;d:/proyecto_supermercados_paginaweb/images/laanonima\Alimento_para_Perros_Cachorros_Carne_Pedigree_x_85_g.jpg
Alimento para Perro Adulto Pouch Carne Pedigree x 100 g.;$ 1.100,00;2026-07-25 12:56:10;d:/proyecto_supermercados_paginaweb/images/laanonima\Alimento_para_Perro_Adulto_Pouch_Carne_Pedigree_x_100_g.jpg
Alimento para Perro Adulto RP Pouch Pollo Pedigree x 100 g.;$ 1.100,00;2026-07-25 12:56:10;d:/proyecto_supermercados_paginaweb/images/laanonima\Alimento_para_Perro_Adulto_RP_Pouch_Pollo_Pedigree_x_100_g.jpg
Alimento para Perro Adulto 7+ Pouch Carne Pedigree x 100 g.;$ 1.100,00;2026-07-25 12:56:10;d:/proyecto_supermercados_paginaweb/images/laanonima\Alimento_para_Perro_Adulto_7+_Pouch_Carne_Pedigree_x_100_g.jpg
Alimento Seco Perro Cachorro Pedigree x 1,5 Kg.;$ 6.880,00;2026-07-25 12:56:10;d:/proyecto_supermercados_paginaweb/images/laanonima\Alimento_Seco_Perro_Cachorro_Pedigree_x_1,5_Kg.jpg
Alimento Seco Perro Adulto Pequeño Carne/Vegetales Pedigree x 1,5 Kg.;$ 6.880,00;2026-07-25 12:56:10;d:/proyecto_supermercados_paginaweb/images/laanonima\Alimento_Seco_Perro_Adulto_Pequeño_CarneVegetales_Pedigree_x.jpg
Alimento para Perro Vegetales Pollo Adulto R/P ET2 Pedigree x 3 kg.;$ 11.360,00;2026-07-25 12:56:10;d:/proyecto_supermercados_paginaweb/images/laanonima\Alimento_para_Perro_Vegetales_Pollo_Adulto_RP_ET2_Pedigree_x.jpg
Alimento Seco Perro Adulto Carne/Pollo/Cerdo Pedigree x 3 Kg.;$ 11.920,00;2026-07-25 12:56:10;d:/proyecto_supermercados_paginaweb/images/laanonima\Alimento_Seco_Perro_Adulto_CarnePolloCerdo_Pedigree_x_3_Kg.jpg
