Producto;Precio;Fecha;Imagen
Yogur Helado Griego S/G Natural La Anonima x 100 g.;$ 2.520,00;2026-09-19 23:20:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Yogur_Helado_Griego_SG_Natural_La_Anonima_x_100_g.jpg
Yogur Helado Griego S/G Frutilla La Anomima x 100 g.;$ 2.760,00;2026-09-19 23:20:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Yogur_Helado_Griego_SG_Frutilla_La_Anomima_x_100_g.jpg
Yogur Helado Griego S/G Frutos Roj. La Anonima x 100 g.;$ 2.800,00;2026-09-19 23:20:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Yogur_Helado_Griego_SG_Frutos_Roj._La_Anonima_x_100_g.jpg
Yogur Helado Griego S/G Frutilla La Anonima x 100 g.;$ 2.840,00;2026-09-19 23:20:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Yogur_Helado_Griego_SG_Frutilla_La_Anonima_x_100_g.jpg
Waffle Tradicional x 6 Un. Forno De Minas x 210 g.;$ 3.625,00;2026-09-19 23:20:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Waffle_Tradicional_x_6_Un._Forno_De_Minas_x_210_g.jpg
Helado Frutilla Naranja x 6 un. La Anónima x 294 gr.;$ 3.640,00;2026-09-19 23:20:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Helado_Frutilla_Naranja_x_6_un._La_Anónima_x_294_gr.jpg
Helado Frutilla x 6 un. La Anónima x 294 gr.;$ 3.680,00;2026-09-19 23:20:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Helado_Frutilla_x_6_un._La_Anónima_x_294_gr.jpg
Helado DDL Americana Frutilla Best x 524 gr.;$ 6.320,00;2026-09-19 23:20:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Helado_DDL_Americana_Frutilla_Best_x_524_gr.jpg
Helado Chocolate DDL Vainilla Best x 524 gr.;$ 6.320,00;2026-09-19 23:20:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Helado_Chocolate_DDL_Vainilla_Best_x_524_gr.jpg
Helado Chocolate Vainilla Frutilla Best x 524 gr.;$ 6.320,00;2026-09-19 23:20:45;d:/proyecto_supermercados_paginaweb/images/laanonima\Helado_Chocolate_Vainilla_Frutilla_Best_x_524_gr.jpg
