Producto;Precio;Fecha;Imagen
Maní Tostado Natural sin Sal & Sin Piel La Anónima x 105 g.;$ 1.350,00;2026-07-05 21:59:56;d:/proyecto_supermercados_paginaweb/images/laanonima\Maní_Tostado_Natural_sin_Sal_&_Sin_Piel_La_Anónima_x_105_g.jpg
Maní Frito Salado sin Piel La Anónima x 105 g.;$ 1.350,00;2026-07-05 21:59:56;d:/proyecto_supermercados_paginaweb/images/laanonima\Maní_Frito_Salado_sin_Piel_La_Anónima_x_105_g.jpg
Bastoncitos Extra Queso Krach-Itos x 60 g.;$ 1.600,00;2026-07-05 21:59:56;d:/proyecto_supermercados_paginaweb/images/laanonima\Bastoncitos_Extra_Queso_Krach-Itos_x_60_g.jpg
Palitos Salados Krach-Itos x 110 g.;$ 1.700,00;2026-07-05 21:59:56;d:/proyecto_supermercados_paginaweb/images/laanonima\Palitos_Salados_Krach-Itos_x_110_g.jpg
Tubos de Maíz X-Treme Hot Krachitos x 45 g.;$ 1.800,00;2026-07-05 21:59:56;d:/proyecto_supermercados_paginaweb/images/laanonima\Tubos_de_Maíz_X-Treme_Hot_Krachitos_x_45_g.jpg
Papas Fritas Corte Americano X-Treme Hot Krachitos x 55 g.;$ 1.900,00;2026-07-05 21:59:56;d:/proyecto_supermercados_paginaweb/images/laanonima\Papas_Fritas_Corte_Americano_X-Treme_Hot_Krachitos_x_55_g.jpg
Tubo de Maíz Dinamita Extra Flamin Hot Doritos x 45 g.;$ 2.000,00;2026-07-05 21:59:56;d:/proyecto_supermercados_paginaweb/images/laanonima\Tubo_de_Maíz_Dinamita_Extra_Flamin_Hot_Doritos_x_45_g.jpg
Mani Crocante Sabon Jamón La Anonima x 85 g.;$ 2.050,00;2026-07-05 21:59:56;d:/proyecto_supermercados_paginaweb/images/laanonima\Mani_Crocante_Sabon_Jamón_La_Anonima_x_85_g.jpg
Mani Crocante Clasico La Anonima x 85 g.;$ 2.050,00;2026-07-05 21:59:56;d:/proyecto_supermercados_paginaweb/images/laanonima\Mani_Crocante_Clasico_La_Anonima_x_85_g.jpg
Snacks Horneados Cebolla Y Crema Molinos Ala x 80 g.;$ 2.100,00;2026-07-05 21:59:56;d:/proyecto_supermercados_paginaweb/images/laanonima\Snacks_Horneados_Cebolla_Y_Crema_Molinos_Ala_x_80_g.jpg
