Producto;Precio;Imagen
ALIMENTO PARA GATOS PETS CLASS FRUTOS DE MAR 85 GR;$799,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA GATOS PETS CLASS FRUTOS DE_0.jpg
ALIMENTO PARA GATOS PETS CLASS SALMON ROSADO 85 GR;$799,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA GATOS PETS CLASS SALMON RO_1.jpg
ALIMENTO PARA GATOS PETS CLASS CARNE 85 GR;$799,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA GATOS PETS CLASS CARNE 85 _2.jpg
ALIMENTO PARA ANIMALES WHISKAS POUCH GATITOS CARNE 85 GR;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES WHISKAS POUCH GAT_3.jpg
ALIMENTO PARA ANIMALES WHISKAS POUCH POLLO 85 GR;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES WHISKAS POUCH POL_4.jpg
ALIMENTO PARA ANIMALES WHISKAS POUCH SALMON 85 gr;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES WHISKAS POUCH SAL_5.jpg
ALIMENTO PARA ANIMALES WHISKAS POUCH PAVO 85 gr;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES WHISKAS POUCH PAV_6.jpg
ALIMENTO PARA GATOS WHISKAS POUCH CARNE 85 GR;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA GATOS WHISKAS POUCH CARNE _7.jpg
ALIMENTO PARA GATOS WHISKAS POUCH SARDINA 85 GR;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA GATOS WHISKAS POUCH SARDIN_8.jpg
ALIMENTO PARA GATOS CAT CHOW ADULTOS POLLO 85 GR;$1.199,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA GATOS CAT CHOW ADULTOS POL_9.jpg
