Producto;Precio;Imagen
ALIMENTO PARA ANIMALES PEDIGREE DENTA STIX RAZAS MEDIANAS;$799,89;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES PEDIGREE DENTA ST_3.jpg
ALIMENTO PARA PERROS PETS CLASS PERRO ADULTOS CARNE 100 GR;$799,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PETS CLASS PERRO AD_0.jpg
ALIMENTO PARA PERROS PETS CLASS CACHORROS POLLO Y LECHE 85 GR;$799,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PETS CLASS CACHORRO_1.jpg
ALIMENTO PARA PERROS PETS CLASS ADULTOS POLLO 100 GR;$799,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PETS CLASS ADULTOS _2.jpg
ALIMENTO PARA ANIMALES PEDIGREE POUCH RAZAS PEQUEÑAS CARNE 100 gr;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES PEDIGREE POUCH RA_4.jpg
ALIMENTO PARA ANIMALES PEDIGREE POUCH RAZAS PEQUEÑAS POLLO 100 gr;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES PEDIGREE POUCH RA_5.jpg
ALIMENTO PARA PERROS PEDIGREE POUCH CARNE ADULTO 100 GR;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PEDIGREE POUCH CARN_6.jpg
ALIMENTO PARA PERROS PEDIGREE POUCH CACHORRO 85 GR;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PEDIGREE POUCH CACH_7.jpg
ALIMENTO PARA PERROS PEDIGREE ADULTOS POLLO 100 GR;$999,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PEDIGREE ADULTOS PO_8.jpg
ALIMENTO PARA PERROS DOG CHOW ADULTOS SALMON 100 GR;$1.199,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS DOG CHOW ADULTOS SA_9.jpg
